Transcode,TimeStamp,MsgLen,IdxToken,OpenVal,CurrVal,HighVal,LowVal,PerChange,IntHighVal,IntLowVal,IntOpenVal,IntCloseVal,IndicativeCloseValue
8,1777542239,52,49,1965820,1963990,1971450,1946880,-52,1963990,1963420,1963825,1963990,0
8,1777542239,52,76,1488430,1466725,1488430,1458815,-152,1466915,1466470,1466915,1466725,1467440
8,1777542239,52,67,2298185,2292230,2307315,2271425,-54,2292300,2291520,2291805,2292230,2293970
8,1777542239,52,24,609300,605250,609405,602580,-91,605310,605170,605290,605250,605635
8,1777542239,52,5,6014890,5971955,6015645,5932300,-109,5973210,5970760,5973210,5971955,5979660
8,1777542239,52,45,344613,343310,344613,342465,-35,343310,343310,343310,343310,0
8,1777542239,52,89,4960665,4927565,4961240,4898885,-95,4928505,4926570,4928340,4927565,0
8,1777542239,52,129,4309890,4285585,4312175,4255570,-81,4286420,4284995,4286420,4285585,0
8,1777542239,52,62,1171480,1169945,1173105,1155490,-59,1170005,1169535,1169720,1169945,1169445
8,1777542239,52,84,125597,125596,125597,125596,2,125596,125596,125596,125596,0
8,1777542239,52,54,2016220,2004720,2016415,1989935,-87,2004950,2004325,2004950,2004720,2006705
8,1777542239,52,111,3108165,3081380,3113295,3063825,-100,3082240,3080605,3082240,3081380,3086320
8,1777542239,52,98,2424600,2415585,2425260,2395700,-77,2415670,2414990,2415670,2415585,0
8,1777542239,52,1,2928730,2933180,2954310,2901270,30,2933895,2932735,2933895,2933180,2935235
8,1777542239,52,21,2585545,2589860,2603400,2544155,-72,2589905,2589145,2589905,2589860,2590920
8,1777542239,52,35,21895,21910,22075,21815,83,21920,21910,21915,21910,0
8,1777542239,52,126,3109605,3087325,3110025,3068640,-98,3087830,3086850,3087830,3087325,0
8,1777542239,52,16,1071105,1062730,1071130,1055115,-90,1062870,1062610,1062870,1062730,1063120
8,1777542239,52,92,2228635,2217725,2229345,2201070,-71,2218380,2217385,2218380,2217725,0
8,1777542239,52,26,1141520,1140970,1145305,1128630,-96,1141045,1140720,1141045,1140970,1141575
8,1777542239,52,72,2204395,2197800,2204395,2197800,204,2197800,2197800,2197800,2197800,2153845
8,1777542239,52,116,852505,852565,856980,844145,6,852900,852395,852900,852565,853315
8,1777542239,52,73,2005825,2000000,2005825,2000000,202,2000000,2000000,2000000,2000000,1960440
8,1777542239,52,50,5124095,5081890,5125460,5051100,-115,5082610,5080815,5082555,5081890,0
8,1777542239,52,101,2491705,2470190,2494670,2460115,-104,2470240,2469185,2469565,2470190,0
8,1777542239,52,74,2516650,2498675,2517895,2482455,-128,2499360,2498150,2499360,2498675,0
8,1777542239,52,29,724235,724910,728070,718625,-80,724910,724580,724685,724910,725385
8,1777542239,52,102,981875,980235,984940,973040,-79,980275,979870,979995,980235,0
8,1777542239,52,68,776820,775465,779965,769915,-48,775610,775335,775610,775465,776235
8,1777542239,52,47,3233725,3224320,3238505,3198660,-86,3224330,3223310,3223865,3224320,0
8,1777542239,52,85,900315,894295,901595,884155,-77,894585,894015,894585,894295,896045
8,1777542239,52,10,941015,941725,944810,931230,-81,941770,941085,941280,941725,941355
8,1777542239,52,125,2217840,2214320,2222060,2196320,-36,2214565,2214005,2214565,2214320,0
8,1777542239,52,13,5172345,5104630,5182910,5068010,-140,5106280,5103400,5106280,5104630,5107115
8,1777542239,52,34,17895,17905,18045,17830,82,17915,17905,17915,17905,0
8,1777542239,52,118,1534110,1528740,1536060,1516295,-94,1528770,1528360,1528750,1528740,1529690
8,1777542239,52,99,2124495,2126090,2132150,2090115,-84,2126090,2125015,2125490,2126090,0
8,1777542239,52,127,883205,873330,883205,864995,-111,874470,872955,873075,873330,0
8,1777542239,52,79,1441685,1441090,1445665,1425175,-67,1441105,1440295,1440680,1441090,1441200
8,1777542239,52,61,3781280,3723195,3781280,3703815,-168,3724700,3723075,3724700,3723195,3729245
