date, close, rsRatio, rsMom
11-07-2025,37693.2,100.0,100.0
14-07-2025,37273.7,99.90943,99.98792
15-07-2025,37424.6,99.73997,99.954865
16-07-2025,37660.8,99.6282,99.91131
17-07-2025,37138.6,99.39711,99.84275
18-07-2025,37141.9,99.270905,99.7665
21-07-2025,37031.8,99.064926,99.67296
22-07-2025,36858.9,98.93829,99.575005
23-07-2025,36951.5,98.77241,99.46799
24-07-2025,36135.8,98.38456,99.32353
25-07-2025,35623.8,98.06525,99.15576
28-07-2025,35370.1,97.777626,98.983826
29-07-2025,35373.2,97.46041,98.81458
30-07-2025,35481.7,97.320305,98.66377
31-07-2025,35301.6,97.36355,98.56915
01-08-2025,34649.6,97.35764,98.50295
04-08-2025,35203.4,97.40229,98.47878
05-08-2025,35034.5,97.39354,98.473434
06-08-2025,34426.2,97.291245,98.477036
07-08-2025,34726.8,97.33802,98.53827
08-08-2025,34398.5,97.48255,98.65394
11-08-2025,34544.6,97.58147,98.80666
12-08-2025,34674.3,97.694145,98.99775
13-08-2025,34692.9,97.69605,99.18287
14-08-2025,34833.2,97.784546,99.34947
18-08-2025,34634.9,97.347115,99.43477
19-08-2025,34756.7,96.919975,99.44411
20-08-2025,35690.1,96.927155,99.45438
21-08-2025,35723.9,97.043816,99.49322
22-08-2025,35440.9,97.1196,99.53087
25-08-2025,36280.1,97.47201,99.59198
26-08-2025,36063.2,97.78201,99.67378
28-08-2025,35488.8,97.94056,99.75091
29-08-2025,35181.2,98.11278,99.840996
01-09-2025,35740.6,98.156876,99.912964
02-09-2025,35737.9,98.2706,100.051056
03-09-2025,35474.9,98.22964,100.22442
04-09-2025,35143.1,98.023254,100.345276
05-09-2025,34635.9,97.59048,100.37435
08-09-2025,34310.4,96.781555,100.27803
09-09-2025,35255.9,96.4499,100.10114
10-09-2025,36183.8,96.68125,99.93756
11-09-2025,36003.5,96.90249,99.804565
12-09-2025,36110.8,97.11173,99.69458
15-09-2025,35902.2,97.327515,99.62264
16-09-2025,36212.1,97.50286,99.568794
17-09-2025,36447.1,97.71882,99.556946
18-09-2025,36750.2,98.04225,99.61861
19-09-2025,36578.2,98.34933,99.77314
22-09-2025,35500.1,98.32294,100.01574
23-09-2025,35249.1,98.1906,100.25427
