
date, close, rs, rsRatio, rsMom
11-07-2025,22225.9,0.9460326,100.0,100.0
14-07-2025,22410.3,0.9515243,100.03869,100.00516
15-07-2025,22665.7,0.9481494,100.03879,100.00964
16-07-2025,22593.9,0.9409734,99.96595,100.003815
17-07-2025,22680.3,0.9449141,99.9588,99.99782
18-07-2025,22592.8,0.94553095,99.960304,99.99281
21-07-2025,22531.8,0.93667847,99.85425,99.974335
22-07-2025,22307.2,0.9343016,99.744225,99.94366
23-07-2025,22417.4,0.93097836,99.61795,99.90023
24-07-2025,22541.1,0.9358085,99.58163,99.85775
25-07-2025,22662.7,0.952951,99.77442,99.84664
28-07-2025,22761.2,0.9606719,100.02844,99.86572
29-07-2025,23072.4,0.96584517,100.29886,99.91829
30-07-2025,23073.9,0.9717045,100.59169,100.01264
31-07-2025,22771.1,0.96260107,100.70769,100.11085
01-08-2025,22011.7,0.94023293,100.50433,100.16863
04-08-2025,22153.8,0.9313211,100.21961,100.19494
05-08-2025,21970.2,0.9201676,99.83663,100.1813
06-08-2025,21523.8,0.90631104,99.347946,100.12099
07-08-2025,21684.8,0.91081613,99.02221,100.02995
08-08-2025,21402.2,0.9117135,98.77704,99.89268
11-08-2025,21604.7,0.9106761,98.573044,99.71299
12-08-2025,21753.5,0.91184413,98.43147,99.50301
13-08-2025,22130.3,0.91740566,98.40565,99.27952
14-08-2025,22151.8,0.91844535,98.43239,99.07434
18-08-2025,22141.2,0.8811646,98.00504,98.866196
19-08-2025,22066.8,0.86683667,97.52747,98.6592
20-08-2025,21969.5,0.8625909,97.15902,98.48038
21-08-2025,22177.7,0.8739119,97.088326,98.37974
22-08-2025,22265.0,0.87901807,97.16143,98.345215
25-08-2025,22362.8,0.8796149,97.285904,98.36457
26-08-2025,21990.0,0.8684731,97.2849,98.408394
28-08-2025,21808.3,0.8659758,97.28848,98.46578
29-08-2025,21804.1,0.87353367,97.440315,98.53954
01-09-2025,21778.8,0.84874517,97.272736,98.577194
02-09-2025,21719.9,0.84893435,97.19249,98.65635
03-09-2025,21959.6,0.8519596,97.228905,98.794685
04-09-2025,21915.4,0.8430686,97.205185,98.96173
05-09-2025,21924.8,0.83299017,97.122375,99.10484
08-09-2025,21865.2,0.80418694,96.696815,99.16044
09-09-2025,22052.7,0.811283,96.489655,99.16325
10-09-2025,22122.1,0.82440865,96.54778,99.17379
11-09-2025,22224.0,0.8309777,96.74411,99.20935
12-09-2025,22341.2,0.8315573,96.97499,99.2511
15-09-2025,22198.7,0.8295261,97.19905,99.34085
16-09-2025,22264.6,0.82016766,97.30208,99.44377
17-09-2025,22241.3,0.8148579,97.36485,99.536575
18-09-2025,22574.3,0.82601094,97.6454,99.65875
19-09-2025,22686.6,0.8334656,98.02409,99.82804
22-09-2025,22365.8,0.8236559,98.22839,100.06216
23-09-2025,22299.1,0.8161621,98.32811,100.307915
24-09-2025,22180.7,0.8212762,98.52041,100.539276
25-09-2025,21977.7,0.82133526,98.70213,100.73723
26-09-2025,21507.2,0.81206435,98.70398,100.876656
29-09-2025,21475.3,0.8123322,98.70869,100.96686
30-09-2025,21454.2,0.80830216,98.666466,101.0249
01-10-2025,21733.5,0.8118997,98.70897,101.07232
03-10-2025,21756.3,0.81322545,98.788025,101.085365
06-10-2025,21779.8,0.8109483,98.84126,101.0518
07-10-2025,21875.3,0.81219375,98.91674,101.005
08-10-2025,21707.3,0.8184516,99.07936,100.97287
09-10-2025,21936.2,0.82507235,99.328865,100.95256
10-10-2025,22218.2,0.8314821,99.651726,100.953835
13-10-2025,22205.1,0.8317078,99.9265,100.9918
14-10-2025,22039.2,0.8272787,100.0803,101.04483
15-10-2025,22057.3,0.8258471,100.18523,101.110756
16-10-2025,22103.2,0.81716007,100.14005,101.15597
17-10-2025,22253.8,0.8172951,100.096985,101.178505
20-10-2025,22439.9,0.8254394,100.17673,101.20152
21-10-2025,22515.7,0.8268771,100.24761,101.22071
23-10-2025,22481.2,0.82594377,100.277534,101.21919
24-10-2025,22357.3,0.8247279,100.27034,101.18301
27-10-2025,22310.4,0.8183189,100.15151,101.09215
28-10-2025,22250.9,0.81960565,100.06088,100.964455
29-10-2025,22430.7,0.8323419,100.17284,100.84819
30-10-2025,22298.2,0.83110446,100.242714,100.74275
31-10-2025,22175.4,0.8271378,100.244,100.657555
03-11-2025,22442.6,0.83610636,100.385254,100.608284
04-11-2025,22334.4,0.8393204,100.54562,100.57628
06-11-2025,22250.6,0.83565617,100.61379,100.54814
07-11-2025,22169.8,0.82786155,100.53433,100.5092
10-11-2025,22379.8,0.833208,100.53348,100.476295
11-11-2025,22369.6,0.823981,100.38542,100.44393
12-11-2025,22593.4,0.8220206,100.23121,100.40744
13-11-2025,22686.8,0.8285055,100.199356,100.35664
14-11-2025,22821.1,0.8377851,100.30636,100.31756
17-11-2025,22867.6,0.8323754,100.29556,100.282074
18-11-2025,22713.7,0.82993037,100.234924,100.224495
19-11-2025,22727.7,0.828438,100.16291,100.143814
20-11-2025,22687.6,0.8233868,100.028145,100.04703
21-11-2025,22580.9,0.8199965,99.865074,99.951996
24-11-2025,22492.4,0.8196282,99.73676,99.85273
25-11-2025,22590.9,0.8251269,99.7303,99.785355
26-11-2025,22862.3,0.8254611,99.741776,99.74886
27-11-2025,22863.0,0.8282586,99.7963,99.728714
28-11-2025,22998.3,0.82803357,99.845894,99.70368
01-12-2025,22887.8,0.8176259,99.72855,99.66781
02-12-2025,22905.0,0.81863505,99.64694,99.63389
03-12-2025,22907.8,0.82867765,99.73783,99.62612
04-12-2025,22958.9,0.8278639,99.814926,99.64755
05-12-2025,22947.2,0.82132924,99.7891,99.6844
08-12-2025,22640.7,0.8204103,99.76282,99.729965
09-12-2025,22522.8,0.82202405,99.773445,99.771736
10-12-2025,22561.5,0.8246705,99.82393,99.81315
11-12-2025,22783.4,0.8236651,99.847244,99.84487
12-12-2025,22808.7,0.81984335,99.80546,99.86015
15-12-2025,22719.4,0.8241192,99.83949,99.89363
16-12-2025,22591.5,0.8202504,99.81247,99.92996
17-12-2025,22612.2,0.82258487,99.83333,99.95207
18-12-2025,22557.6,0.8256234,99.90336,99.970276
19-12-2025,22751.2,0.822614,99.90962,99.99034
22-12-2025,22927.9,0.82222176,99.904564,100.010574
23-12-2025,22875.1,0.82012826,99.87617,100.02289
24-12-2025,22757.4,0.81609577,99.79985,100.016624
26-12-2025,22684.7,0.8177672,99.76485,100.0034
29-12-2025,22578.3,0.81827676,99.74521,99.9949
30-12-2025,22540.1,0.80818725,99.580635,99.96101
31-12-2025,22723.7,0.8061022,99.42547,99.91451
