Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,24834.20,24847.70,24572.00,24613.80,0,
27_03_2026_09_20,24612.40,24726.50,24610.20,24663.00,0,
27_03_2026_09_25,24662.70,24727.30,24656.50,24676.10,0,
27_03_2026_09_30,24677.20,24677.30,24633.70,24646.60,0,
27_03_2026_09_35,24645.80,24653.90,24595.40,24620.20,0,
27_03_2026_09_40,24621.30,24687.80,24617.10,24642.80,0,
27_03_2026_09_45,24645.20,24647.70,24562.70,24566.20,0,
27_03_2026_09_50,24568.70,24568.80,24477.70,24478.50,0,
27_03_2026_09_55,24480.50,24486.90,24423.90,24434.60,0,
27_03_2026_10_00,24434.40,24527.20,24431.20,24503.70,0,
27_03_2026_10_05,24501.80,24512.60,24466.90,24509.30,0,
27_03_2026_10_10,24509.40,24512.20,24438.80,24444.80,0,
27_03_2026_10_15,24444.90,24445.60,24399.60,24399.70,0,
27_03_2026_10_20,24399.50,24473.20,24397.80,24472.60,0,
27_03_2026_10_25,24473.20,24492.30,24452.60,24488.20,0,
27_03_2026_10_30,24488.20,24530.00,24458.80,24476.00,0,
27_03_2026_10_35,24478.40,24484.20,24460.10,24478.50,0,
27_03_2026_10_40,24478.20,24490.70,24456.80,24456.80,0,
27_03_2026_10_45,24458.70,24464.80,24434.70,24443.50,0,
27_03_2026_10_50,24443.30,24454.20,24404.20,24404.20,0,
27_03_2026_10_55,24407.00,24437.00,24399.20,24412.80,0,
27_03_2026_11_00,24412.90,24432.90,24387.40,24404.90,0,
27_03_2026_11_05,24404.90,24421.40,24384.70,24418.00,0,
27_03_2026_11_10,24420.20,24433.20,24393.80,24414.50,0,
27_03_2026_11_15,24415.10,24433.80,24403.30,24409.60,0,
27_03_2026_11_20,24410.50,24431.80,24401.10,24403.70,0,
27_03_2026_11_25,24402.80,24420.10,24394.60,24410.40,0,
27_03_2026_11_30,24410.70,24417.50,24381.10,24386.70,0,
27_03_2026_11_35,24388.20,24416.20,24382.30,24393.20,0,
27_03_2026_11_40,24393.40,24410.80,24383.90,24405.80,0,
27_03_2026_11_45,24406.50,24422.20,24385.70,24396.20,0,
27_03_2026_11_50,24395.80,24437.20,24391.60,24411.70,0,
27_03_2026_11_55,24412.70,24413.30,24383.00,24392.60,0,
27_03_2026_12_00,24392.20,24392.30,24343.70,24359.80,0,
27_03_2026_12_05,24358.80,24360.80,24333.70,24348.80,0,
27_03_2026_12_10,24349.20,24351.10,24324.30,24333.80,0,
27_03_2026_12_15,24333.90,24344.60,24301.40,24308.90,0,
27_03_2026_12_20,24308.20,24349.90,24307.00,24349.10,0,
27_03_2026_12_25,24349.50,24400.90,24344.80,24392.80,0,
27_03_2026_12_30,24392.20,24414.30,24375.10,24414.20,0,
27_03_2026_12_35,24414.00,24434.40,24407.40,24416.60,0,
27_03_2026_12_40,24416.20,24458.20,24392.70,24458.20,0,
27_03_2026_12_45,24458.20,24461.90,24437.60,24443.70,0,
27_03_2026_12_50,24443.90,24493.10,24443.50,24487.80,0,
27_03_2026_12_55,24487.60,24488.20,24461.80,24470.80,0,
27_03_2026_13_00,24470.30,24479.40,24437.10,24437.70,0,
27_03_2026_13_05,24437.80,24453.20,24426.20,24430.50,0,
27_03_2026_13_10,24431.30,24475.20,24430.70,24470.90,0,
27_03_2026_13_15,24470.20,24539.90,24463.90,24512.80,0,
27_03_2026_13_20,24512.70,24512.70,24463.20,24480.80,0,
27_03_2026_13_25,24481.70,24498.40,24458.00,24458.90,0,
27_03_2026_13_30,24458.60,24460.20,24436.10,24436.10,0,
27_03_2026_13_35,24436.60,24449.80,24420.20,24422.50,0,
27_03_2026_13_40,24421.20,24476.80,24418.30,24459.00,0,
27_03_2026_13_45,24460.00,24472.80,24433.90,24440.20,0,
27_03_2026_13_50,24440.40,24468.30,24436.20,24461.20,0,
27_03_2026_13_55,24461.70,24475.10,24441.20,24463.90,0,
27_03_2026_14_00,24464.90,24473.90,24448.60,24469.60,0,
27_03_2026_14_05,24469.20,24474.30,24441.20,24463.70,0,
27_03_2026_14_10,24466.70,24482.90,24445.20,24482.10,0,
27_03_2026_14_15,24480.10,24482.50,24446.20,24447.00,0,
27_03_2026_14_20,24447.00,24462.80,24437.90,24451.20,0,
27_03_2026_14_25,24450.90,24457.60,24415.90,24441.70,0,
27_03_2026_14_30,24441.90,24444.10,24399.20,24404.20,0,
27_03_2026_14_35,24405.40,24413.60,24379.20,24383.00,0,
27_03_2026_14_40,24384.80,24441.40,24375.90,24419.70,0,
27_03_2026_14_45,24419.60,24426.70,24400.00,24414.40,0,
27_03_2026_14_50,24415.30,24420.20,24396.30,24406.80,0,
27_03_2026_14_55,24409.60,24431.10,24394.10,24406.30,0,
27_03_2026_15_00,24409.40,24409.40,24345.80,24366.30,0,
27_03_2026_15_05,24365.30,24366.70,24332.80,24341.80,0,
27_03_2026_15_10,24341.90,24356.80,24324.20,24331.30,0,
27_03_2026_15_15,24331.10,24375.60,24322.40,24372.80,0,
27_03_2026_15_20,24373.10,24373.10,24346.90,24361.30,0,
27_03_2026_15_25,24362.70,24379.30,24341.90,24355.60,0,
30_03_2026_09_15,24016.80,24083.00,23848.90,24003.90,0,
30_03_2026_09_20,24003.10,24064.70,23990.40,23997.20,0,
30_03_2026_09_25,23996.80,24036.50,23971.90,24028.30,0,
30_03_2026_09_30,24029.90,24179.00,24029.90,24175.40,0,
30_03_2026_09_35,24173.80,24193.10,24128.60,24128.60,0,
30_03_2026_09_40,24128.10,24134.20,24101.60,24116.90,0,
30_03_2026_09_45,24116.40,24172.70,24115.90,24119.40,0,
30_03_2026_09_50,24119.10,24170.50,24084.50,24134.70,0,
30_03_2026_09_55,24133.80,24152.70,24098.10,24130.20,0,
30_03_2026_10_00,24129.70,24182.80,24122.80,24169.60,0,
30_03_2026_10_05,24167.70,24167.70,24058.90,24081.70,0,
30_03_2026_10_10,24079.90,24108.40,24044.50,24108.40,0,
30_03_2026_10_15,24107.80,24120.20,24027.90,24032.60,0,
30_03_2026_10_20,24031.40,24055.60,24018.30,24030.90,0,
30_03_2026_10_25,24031.20,24034.40,23997.40,23997.40,0,
30_03_2026_10_30,23997.40,23999.10,23967.20,23975.70,0,
30_03_2026_10_35,23974.20,24009.10,23965.20,23998.80,0,
30_03_2026_10_40,23998.70,24017.80,23957.50,23959.40,0,
30_03_2026_10_45,23958.10,23996.70,23953.30,23995.30,0,
30_03_2026_10_50,23995.60,23995.60,23928.20,23932.00,0,
30_03_2026_10_55,23932.70,23984.80,23912.80,23927.80,0,
30_03_2026_11_00,23928.10,23938.40,23907.90,23935.60,0,
30_03_2026_11_05,23936.00,23943.10,23913.90,23913.90,0,
30_03_2026_11_10,23912.40,23922.80,23889.10,23909.60,0,
30_03_2026_11_15,23909.70,23934.30,23906.90,23921.70,0,
30_03_2026_11_20,23921.20,23954.80,23903.40,23928.60,0,
30_03_2026_11_25,23927.30,23928.20,23889.30,23902.50,0,
30_03_2026_11_30,23900.70,23932.20,23891.80,23929.20,0,
30_03_2026_11_35,23929.00,23981.40,23928.90,23940.40,0,
30_03_2026_11_40,23938.80,23947.20,23915.30,23916.80,0,
30_03_2026_11_45,23917.60,23917.60,23890.20,23902.50,0,
30_03_2026_11_50,23901.70,23919.40,23888.40,23915.60,0,
30_03_2026_11_55,23915.10,23932.70,23884.60,23903.70,0,
30_03_2026_12_00,23904.60,24004.40,23894.90,23978.40,0,
30_03_2026_12_05,23977.60,24034.50,23954.00,23970.70,0,
30_03_2026_12_10,23970.20,23990.10,23959.90,23974.70,0,
30_03_2026_12_15,23973.90,23986.60,23947.70,23952.90,0,
30_03_2026_12_20,23953.20,23982.60,23907.20,23909.70,0,
30_03_2026_12_25,23910.20,23914.90,23865.20,23902.20,0,
30_03_2026_12_30,23900.40,23909.80,23888.00,23899.60,0,
30_03_2026_12_35,23900.40,23970.10,23898.60,23965.80,0,
30_03_2026_12_40,23965.90,23996.90,23955.50,23967.90,0,
30_03_2026_12_45,23967.70,23970.40,23920.40,23921.30,0,
30_03_2026_12_50,23920.20,23923.90,23883.40,23903.60,0,
30_03_2026_12_55,23903.80,23912.80,23891.70,23910.80,0,
30_03_2026_13_00,23910.70,23915.90,23891.30,23900.80,0,
30_03_2026_13_05,23900.10,23926.30,23896.70,23919.80,0,
30_03_2026_13_10,23919.40,23947.90,23907.50,23926.20,0,
30_03_2026_13_15,23926.00,23953.20,23921.20,23931.90,0,
30_03_2026_13_20,23933.30,23951.80,23924.80,23941.90,0,
30_03_2026_13_25,23940.40,23943.90,23892.20,23925.00,0,
30_03_2026_13_30,23923.60,23991.60,23919.70,23991.20,0,
30_03_2026_13_35,23991.90,24022.10,23971.20,24000.50,0,
30_03_2026_13_40,23997.80,24002.80,23938.30,23948.80,0,
30_03_2026_13_45,23950.20,23957.40,23912.80,23913.20,0,
30_03_2026_13_50,23910.10,23919.60,23887.80,23891.70,0,
30_03_2026_13_55,23892.10,23908.90,23885.60,23903.10,0,
30_03_2026_14_00,23902.20,23989.40,23895.40,23954.80,0,
30_03_2026_14_05,23955.20,23971.10,23932.20,23932.20,0,
30_03_2026_14_10,23929.70,23934.90,23892.70,23900.80,0,
30_03_2026_14_15,23900.70,23921.50,23895.70,23907.10,0,
30_03_2026_14_20,23906.80,23937.50,23879.30,23887.60,0,
30_03_2026_14_25,23887.60,23909.20,23882.10,23887.60,0,
30_03_2026_14_30,23887.30,23910.20,23828.10,23829.70,0,
30_03_2026_14_35,23824.30,23848.30,23814.50,23845.70,0,
30_03_2026_14_40,23844.20,23870.30,23832.60,23839.00,0,
30_03_2026_14_45,23837.30,23863.00,23832.10,23854.10,0,
30_03_2026_14_50,23851.80,23864.70,23796.30,23801.70,0,
30_03_2026_14_55,23800.10,23809.80,23773.30,23784.70,0,
30_03_2026_15_00,23784.10,23784.40,23708.20,23712.30,0,
30_03_2026_15_05,23712.90,23740.40,23711.10,23728.30,0,
30_03_2026_15_10,23728.90,23809.20,23728.00,23796.20,0,
30_03_2026_15_15,23797.10,23813.70,23777.70,23777.90,0,
30_03_2026_15_20,23777.50,23814.70,23775.20,23812.90,0,
30_03_2026_15_25,23813.90,23835.50,23774.10,23779.20,0,
01_04_2026_09_15,24508.80,24560.40,24394.50,24507.20,0,
01_04_2026_09_20,24505.80,24552.20,24496.80,24514.20,0,
01_04_2026_09_25,24513.90,24626.90,24513.80,24624.10,0,
01_04_2026_09_30,24619.80,24646.50,24494.10,24514.00,0,
01_04_2026_09_35,24513.80,24514.70,24462.30,24470.70,0,
01_04_2026_09_40,24471.60,24543.40,24467.80,24496.80,0,
01_04_2026_09_45,24496.90,24572.80,24478.80,24561.60,0,
01_04_2026_09_50,24561.20,24614.80,24561.10,24591.20,0,
01_04_2026_09_55,24589.20,24591.60,24532.00,24539.10,0,
01_04_2026_10_00,24539.60,24587.40,24530.70,24567.80,0,
01_04_2026_10_05,24568.20,24581.70,24543.30,24555.10,0,
01_04_2026_10_10,24554.30,24554.30,24461.30,24478.30,0,
01_04_2026_10_15,24476.80,24510.10,24474.10,24500.30,0,
01_04_2026_10_20,24500.60,24507.60,24442.80,24444.70,0,
01_04_2026_10_25,24444.60,24444.60,24364.40,24386.00,0,
01_04_2026_10_30,24392.20,24437.40,24369.80,24425.90,0,
01_04_2026_10_35,24425.80,24452.60,24423.60,24452.10,0,
01_04_2026_10_40,24452.80,24454.20,24415.10,24441.10,0,
01_04_2026_10_45,24444.40,24459.20,24422.80,24441.20,0,
01_04_2026_10_50,24440.60,24440.90,24400.30,24400.60,0,
01_04_2026_10_55,24402.00,24402.00,24360.40,24371.40,0,
01_04_2026_11_00,24370.80,24370.80,24309.80,24311.90,0,
01_04_2026_11_05,24310.70,24366.70,24304.60,24340.00,0,
01_04_2026_11_10,24338.40,24363.10,24309.60,24314.50,0,
01_04_2026_11_15,24314.80,24332.80,24303.80,24327.30,0,
01_04_2026_11_20,24327.90,24356.80,24318.00,24342.30,0,
01_04_2026_11_25,24342.80,24359.10,24315.90,24317.00,0,
01_04_2026_11_30,24317.90,24389.30,24316.80,24366.40,0,
01_04_2026_11_35,24366.50,24397.80,24347.10,24385.70,0,
01_04_2026_11_40,24385.20,24385.80,24342.20,24344.80,0,
01_04_2026_11_45,24343.30,24343.90,24265.40,24300.10,0,
01_04_2026_11_50,24298.10,24313.50,24285.10,24286.80,0,
01_04_2026_11_55,24286.50,24323.30,24270.60,24319.80,0,
01_04_2026_12_00,24318.80,24397.50,24318.80,24381.40,0,
01_04_2026_12_05,24381.20,24404.90,24360.50,24403.70,0,
01_04_2026_12_10,24400.60,24434.70,24392.40,24434.00,0,
01_04_2026_12_15,24432.60,24460.90,24406.10,24407.30,0,
01_04_2026_12_20,24406.20,24406.20,24379.70,24393.30,0,
01_04_2026_12_25,24392.30,24411.80,24373.40,24410.70,0,
01_04_2026_12_30,24409.30,24437.30,24409.30,24421.70,0,
01_04_2026_12_35,24419.20,24442.30,24405.80,24441.40,0,
01_04_2026_12_40,24439.80,24452.10,24418.00,24440.80,0,
01_04_2026_12_45,24441.10,24491.30,24439.80,24476.90,0,
01_04_2026_12_50,24476.80,24486.20,24456.40,24484.00,0,
01_04_2026_12_55,24483.10,24484.90,24454.60,24457.10,0,
01_04_2026_13_00,24457.70,24470.90,24436.70,24441.60,0,
01_04_2026_13_05,24441.50,24479.60,24440.50,24461.40,0,
01_04_2026_13_10,24461.20,24515.10,24448.20,24515.10,0,
01_04_2026_13_15,24514.90,24526.20,24459.10,24468.00,0,
01_04_2026_13_20,24466.70,24479.20,24450.20,24475.70,0,
01_04_2026_13_25,24473.90,24485.40,24457.90,24483.70,0,
01_04_2026_13_30,24484.10,24484.40,24431.00,24443.30,0,
01_04_2026_13_35,24442.50,24443.70,24389.10,24438.20,0,
01_04_2026_13_40,24435.40,24435.40,24297.10,24337.80,0,
01_04_2026_13_45,24337.60,24395.70,24300.40,24388.10,0,
01_04_2026_13_50,24388.00,24404.10,24380.90,24397.10,0,
01_04_2026_13_55,24396.70,24420.60,24356.80,24370.40,0,
01_04_2026_14_00,24371.50,24395.40,24353.10,24387.50,0,
01_04_2026_14_05,24387.30,24412.20,24384.30,24402.30,0,
01_04_2026_14_10,24401.80,24403.60,24352.30,24376.20,0,
01_04_2026_14_15,24376.20,24379.60,24302.40,24340.80,0,
01_04_2026_14_20,24340.40,24342.30,24284.50,24302.20,0,
01_04_2026_14_25,24302.10,24307.90,24281.90,24303.30,0,
01_04_2026_14_30,24303.80,24304.50,24211.60,24227.70,0,
01_04_2026_14_35,24229.30,24233.80,24183.90,24186.00,0,
01_04_2026_14_40,24182.40,24208.00,24146.30,24189.20,0,
01_04_2026_14_45,24188.70,24189.60,24132.40,24160.40,0,
01_04_2026_14_50,24161.10,24195.50,24148.60,24184.60,0,
01_04_2026_14_55,24184.30,24244.80,24173.60,24213.80,0,
01_04_2026_15_00,24210.60,24252.60,24194.30,24221.60,0,
01_04_2026_15_05,24222.20,24252.00,24220.50,24249.00,0,
01_04_2026_15_10,24249.80,24254.20,24232.90,24236.40,0,
01_04_2026_15_15,24235.70,24262.30,24224.10,24253.70,0,
01_04_2026_15_20,24255.70,24258.00,24244.60,24250.70,0,
01_04_2026_15_25,24251.60,24252.50,24182.20,24218.10,0,
02_04_2026_09_15,23913.20,23913.20,23574.10,23632.20,0,
02_04_2026_09_20,23633.70,23676.90,23606.10,23643.30,0,
02_04_2026_09_25,23645.80,23712.20,23631.10,23696.20,0,
02_04_2026_09_30,23695.60,23738.40,23689.70,23714.80,0,
02_04_2026_09_35,23715.00,23742.90,23677.70,23705.60,0,
02_04_2026_09_40,23706.30,23755.90,23700.70,23723.40,0,
02_04_2026_09_45,23723.50,23723.80,23623.90,23626.20,0,
02_04_2026_09_50,23626.80,23639.90,23578.60,23578.60,0,
02_04_2026_09_55,23579.20,23612.40,23572.60,23576.90,0,
02_04_2026_10_00,23577.10,23646.90,23562.00,23627.50,0,
02_04_2026_10_05,23627.50,23631.80,23575.00,23578.10,0,
02_04_2026_10_10,23577.70,23659.30,23575.70,23648.90,0,
02_04_2026_10_15,23650.40,23650.40,23594.90,23605.40,0,
02_04_2026_10_20,23605.80,23638.60,23587.20,23588.90,0,
02_04_2026_10_25,23590.90,23640.30,23587.40,23618.80,0,
02_04_2026_10_30,23619.80,23658.90,23617.30,23639.80,0,
02_04_2026_10_35,23640.00,23664.30,23627.80,23633.00,0,
02_04_2026_10_40,23633.90,23664.40,23629.90,23642.00,0,
02_04_2026_10_45,23642.20,23644.90,23583.40,23611.90,0,
02_04_2026_10_50,23614.20,23658.30,23585.30,23636.40,0,
02_04_2026_10_55,23637.10,23652.70,23614.30,23629.10,0,
02_04_2026_11_00,23629.70,23647.80,23607.50,23609.00,0,
02_04_2026_11_05,23613.40,23637.40,23603.80,23619.80,0,
02_04_2026_11_10,23618.90,23632.20,23597.20,23618.10,0,
02_04_2026_11_15,23618.30,23623.90,23599.80,23601.40,0,
02_04_2026_11_20,23601.40,23611.60,23592.80,23607.90,0,
02_04_2026_11_25,23608.00,23625.40,23563.90,23568.70,0,
02_04_2026_11_30,23568.80,23601.40,23560.10,23600.60,0,
02_04_2026_11_35,23600.80,23617.20,23595.30,23606.70,0,
02_04_2026_11_40,23604.70,23612.40,23589.60,23596.90,0,
02_04_2026_11_45,23596.20,23652.20,23595.10,23643.70,0,
02_04_2026_11_50,23643.80,23667.30,23641.70,23666.80,0,
02_04_2026_11_55,23666.80,23745.30,23648.40,23715.60,0,
02_04_2026_12_00,23718.50,23730.00,23673.60,23676.30,0,
02_04_2026_12_05,23679.40,23681.60,23648.70,23672.90,0,
02_04_2026_12_10,23675.10,23687.40,23667.90,23682.50,0,
02_04_2026_12_15,23684.80,23698.20,23674.20,23679.10,0,
02_04_2026_12_20,23679.80,23688.80,23631.20,23670.90,0,
02_04_2026_12_25,23670.50,23703.40,23658.60,23703.40,0,
02_04_2026_12_30,23703.90,23751.40,23695.30,23725.60,0,
02_04_2026_12_35,23726.30,23773.30,23719.90,23747.00,0,
02_04_2026_12_40,23751.90,23786.50,23745.30,23781.70,0,
02_04_2026_12_45,23783.80,23786.70,23749.90,23776.90,0,
02_04_2026_12_50,23778.50,23781.70,23738.20,23751.40,0,
02_04_2026_12_55,23751.80,23834.80,23747.90,23834.80,0,
02_04_2026_13_00,23835.20,23872.30,23822.60,23826.70,0,
02_04_2026_13_05,23825.80,23830.90,23789.40,23816.90,0,
02_04_2026_13_10,23815.80,23815.80,23779.80,23803.40,0,
02_04_2026_13_15,23800.20,23829.80,23790.20,23827.90,0,
02_04_2026_13_20,23827.40,23903.00,23819.70,23903.00,0,
02_04_2026_13_25,23903.50,23989.70,23894.90,23982.90,0,
02_04_2026_13_30,23982.80,24016.60,23950.80,23971.60,0,
02_04_2026_13_35,23971.20,24014.10,23936.20,24009.90,0,
02_04_2026_13_40,24011.10,24024.60,23988.80,24023.10,0,
02_04_2026_13_45,24023.40,24051.50,24010.20,24020.00,0,
02_04_2026_13_50,24019.40,24061.70,24003.60,24034.60,0,
02_04_2026_13_55,24035.30,24050.80,23993.00,24031.80,0,
02_04_2026_14_00,24031.90,24071.30,24013.80,24069.80,0,
02_04_2026_14_05,24069.10,24071.40,24024.10,24058.40,0,
02_04_2026_14_10,24057.90,24148.20,24056.70,24142.10,0,
02_04_2026_14_15,24139.80,24171.20,24102.20,24143.10,0,
02_04_2026_14_20,24142.80,24153.20,24123.40,24150.20,0,
02_04_2026_14_25,24151.20,24162.70,24110.30,24121.20,0,
02_04_2026_14_30,24119.60,24157.60,24103.20,24141.20,0,
02_04_2026_14_35,24143.60,24150.80,24071.40,24091.80,0,
02_04_2026_14_40,24092.70,24099.90,23990.50,23996.60,0,
02_04_2026_14_45,23996.20,24057.80,23974.50,24027.80,0,
02_04_2026_14_50,24026.80,24067.90,24021.20,24061.70,0,
02_04_2026_14_55,24062.40,24066.20,24032.90,24050.00,0,
02_04_2026_15_00,24048.30,24099.70,24048.30,24071.20,0,
02_04_2026_15_05,24071.50,24137.70,24059.20,24136.80,0,
