Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,29721.00,29925.60,29642.30,29832.10,0,
27_03_2026_09_20,29828.50,30029.60,29819.20,29957.90,0,
27_03_2026_09_25,29955.40,30005.60,29928.30,29951.80,0,
27_03_2026_09_30,29955.10,29957.80,29907.90,29918.30,0,
27_03_2026_09_35,29920.10,29936.30,29868.80,29896.30,0,
27_03_2026_09_40,29904.00,29969.40,29902.90,29944.60,0,
27_03_2026_09_45,29945.40,29947.90,29890.30,29905.50,0,
27_03_2026_09_50,29903.80,29934.10,29849.30,29850.10,0,
27_03_2026_09_55,29850.10,29853.40,29746.40,29751.00,0,
27_03_2026_10_00,29751.20,29818.20,29738.80,29777.70,0,
27_03_2026_10_05,29777.90,29783.50,29737.60,29759.90,0,
27_03_2026_10_10,29758.60,29802.30,29745.80,29799.90,0,
27_03_2026_10_15,29800.20,29849.50,29796.70,29836.40,0,
27_03_2026_10_20,29836.70,29855.10,29820.10,29840.20,0,
27_03_2026_10_25,29838.40,29857.70,29797.60,29824.90,0,
27_03_2026_10_30,29825.40,29874.30,29820.70,29836.70,0,
27_03_2026_10_35,29838.00,29852.10,29791.70,29851.20,0,
27_03_2026_10_40,29851.70,29851.70,29751.20,29755.00,0,
27_03_2026_10_45,29757.50,29757.50,29713.60,29729.70,0,
27_03_2026_10_50,29728.50,29735.20,29702.20,29705.70,0,
27_03_2026_10_55,29705.20,29756.20,29695.80,29751.80,0,
27_03_2026_11_00,29754.30,29766.20,29716.60,29718.40,0,
27_03_2026_11_05,29719.70,29759.70,29706.10,29758.40,0,
27_03_2026_11_10,29759.40,29805.00,29747.20,29800.20,0,
27_03_2026_11_15,29801.10,29802.90,29733.30,29749.10,0,
27_03_2026_11_20,29744.80,29767.80,29677.20,29678.20,0,
27_03_2026_11_25,29678.30,29727.90,29673.60,29676.60,0,
27_03_2026_11_30,29675.50,29700.00,29658.20,29698.10,0,
27_03_2026_11_35,29697.80,29735.60,29697.80,29715.20,0,
27_03_2026_11_40,29716.50,29726.50,29680.60,29701.90,0,
27_03_2026_11_45,29702.10,29716.90,29684.20,29711.40,0,
27_03_2026_11_50,29711.00,29760.80,29700.60,29745.40,0,
27_03_2026_11_55,29745.10,29774.80,29731.40,29768.40,0,
27_03_2026_12_00,29770.20,29781.90,29750.70,29776.90,0,
27_03_2026_12_05,29776.90,29787.90,29762.90,29770.80,0,
27_03_2026_12_10,29770.80,29796.80,29741.80,29794.20,0,
27_03_2026_12_15,29794.10,29815.80,29731.20,29742.80,0,
27_03_2026_12_20,29743.20,29795.20,29719.70,29786.10,0,
27_03_2026_12_25,29786.60,29814.10,29770.20,29787.20,0,
27_03_2026_12_30,29788.40,29805.20,29756.40,29790.10,0,
27_03_2026_12_35,29790.30,29826.30,29765.80,29781.20,0,
27_03_2026_12_40,29781.30,29824.20,29754.30,29824.20,0,
27_03_2026_12_45,29826.30,29826.30,29771.70,29811.80,0,
27_03_2026_12_50,29812.60,29827.20,29767.70,29785.30,0,
27_03_2026_12_55,29784.40,29793.30,29749.20,29751.70,0,
27_03_2026_13_00,29752.20,29784.50,29717.80,29721.30,0,
27_03_2026_13_05,29722.30,29734.00,29706.30,29730.30,0,
27_03_2026_13_10,29730.30,29775.40,29719.70,29775.30,0,
27_03_2026_13_15,29774.20,29827.10,29750.90,29783.80,0,
27_03_2026_13_20,29782.80,29788.60,29730.00,29736.50,0,
27_03_2026_13_25,29733.60,29752.40,29673.80,29674.30,0,
27_03_2026_13_30,29676.80,29699.40,29664.20,29680.80,0,
27_03_2026_13_35,29681.60,29709.60,29665.10,29688.20,0,
27_03_2026_13_40,29686.90,29758.90,29684.00,29724.90,0,
27_03_2026_13_45,29724.50,29724.50,29690.40,29694.90,0,
27_03_2026_13_50,29692.90,29720.80,29687.20,29702.90,0,
27_03_2026_13_55,29704.70,29726.90,29680.20,29701.60,0,
27_03_2026_14_00,29702.30,29714.20,29673.40,29682.40,0,
27_03_2026_14_05,29682.70,29692.90,29625.80,29635.30,0,
27_03_2026_14_10,29635.60,29636.00,29571.40,29575.20,0,
27_03_2026_14_15,29574.10,29611.50,29566.20,29591.90,0,
27_03_2026_14_20,29592.80,29617.30,29573.10,29596.80,0,
27_03_2026_14_25,29596.60,29635.80,29594.20,29603.00,0,
27_03_2026_14_30,29602.40,29609.60,29541.90,29557.90,0,
27_03_2026_14_35,29557.60,29590.70,29539.30,29546.90,0,
27_03_2026_14_40,29548.40,29585.60,29537.60,29559.70,0,
27_03_2026_14_45,29559.00,29591.40,29540.80,29541.30,0,
27_03_2026_14_50,29539.80,29585.70,29539.80,29574.70,0,
27_03_2026_14_55,29576.70,29590.30,29559.30,29570.20,0,
27_03_2026_15_00,29570.60,29600.20,29542.70,29594.80,0,
27_03_2026_15_05,29591.90,29594.60,29555.70,29574.20,0,
27_03_2026_15_10,29577.60,29597.80,29542.70,29546.70,0,
27_03_2026_15_15,29548.80,29550.80,29527.90,29535.60,0,
27_03_2026_15_20,29535.10,29535.40,29461.20,29513.80,0,
27_03_2026_15_25,29513.30,29515.00,29468.70,29468.70,0,
30_03_2026_09_15,29238.30,29352.20,29107.20,29346.80,0,
30_03_2026_09_20,29353.30,29372.30,29283.00,29305.60,0,
30_03_2026_09_25,29300.10,29356.40,29267.80,29352.30,0,
30_03_2026_09_30,29356.10,29409.20,29336.80,29377.30,0,
30_03_2026_09_35,29375.60,29439.10,29366.30,29417.70,0,
30_03_2026_09_40,29417.70,29418.90,29351.90,29366.60,0,
30_03_2026_09_45,29366.00,29393.90,29303.10,29307.30,0,
30_03_2026_09_50,29308.20,29378.40,29302.80,29317.90,0,
30_03_2026_09_55,29316.40,29316.90,29277.30,29309.00,0,
30_03_2026_10_00,29295.30,29332.10,29250.20,29311.90,0,
30_03_2026_10_05,29310.10,29330.60,29270.30,29287.20,0,
30_03_2026_10_10,29286.80,29288.30,29231.20,29269.90,0,
30_03_2026_10_15,29269.80,29278.60,29202.10,29209.90,0,
30_03_2026_10_20,29208.30,29226.50,29183.70,29185.40,0,
30_03_2026_10_25,29184.80,29210.60,29177.90,29190.80,0,
30_03_2026_10_30,29192.10,29204.50,29177.40,29193.60,0,
30_03_2026_10_35,29193.80,29242.30,29190.80,29234.40,0,
30_03_2026_10_40,29234.40,29247.40,29147.20,29162.20,0,
30_03_2026_10_45,29164.40,29196.80,29155.70,29180.40,0,
30_03_2026_10_50,29181.10,29209.70,29156.90,29161.30,0,
30_03_2026_10_55,29162.30,29203.30,29143.30,29190.10,0,
30_03_2026_11_00,29192.00,29193.10,29164.00,29187.10,0,
30_03_2026_11_05,29180.20,29182.10,29148.50,29148.50,0,
30_03_2026_11_10,29147.10,29182.20,29119.70,29182.20,0,
30_03_2026_11_15,29183.20,29229.10,29183.20,29228.00,0,
30_03_2026_11_20,29228.10,29241.80,29205.70,29235.40,0,
30_03_2026_11_25,29237.80,29252.20,29218.90,29224.60,0,
30_03_2026_11_30,29223.90,29246.20,29194.90,29237.40,0,
30_03_2026_11_35,29236.90,29314.20,29236.90,29302.50,0,
30_03_2026_11_40,29298.60,29301.40,29218.70,29221.40,0,
30_03_2026_11_45,29220.10,29225.80,29174.80,29191.40,0,
30_03_2026_11_50,29191.30,29191.30,29149.20,29181.10,0,
30_03_2026_11_55,29180.80,29217.30,29180.00,29216.20,0,
30_03_2026_12_00,29216.20,29334.40,29208.60,29329.40,0,
30_03_2026_12_05,29330.70,29398.20,29316.90,29328.20,0,
30_03_2026_12_10,29329.70,29382.40,29324.90,29365.30,0,
30_03_2026_12_15,29362.50,29377.10,29347.90,29360.20,0,
30_03_2026_12_20,29359.90,29399.70,29340.60,29344.90,0,
