Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,22612.70,22658.70,22484.10,22516.80,0,
27_03_2026_09_20,22517.20,22617.40,22515.50,22588.90,0,
27_03_2026_09_25,22588.70,22635.90,22576.90,22613.80,0,
27_03_2026_09_30,22613.20,22628.70,22583.30,22594.30,0,
27_03_2026_09_35,22594.40,22623.90,22581.70,22623.30,0,
27_03_2026_09_40,22624.10,22658.10,22619.50,22657.80,0,
27_03_2026_09_45,22658.10,22686.80,22655.20,22683.20,0,
27_03_2026_09_50,22683.20,22687.80,22638.20,22640.50,0,
27_03_2026_09_55,22638.50,22653.90,22630.20,22652.70,0,
27_03_2026_10_00,22652.20,22698.00,22641.20,22681.40,0,
27_03_2026_10_05,22681.40,22681.70,22652.10,22665.90,0,
27_03_2026_10_10,22665.10,22666.80,22633.50,22639.60,0,
27_03_2026_10_15,22639.80,22647.50,22622.70,22622.70,0,
27_03_2026_10_20,22621.40,22666.90,22613.10,22665.10,0,
27_03_2026_10_25,22665.70,22682.00,22655.90,22663.60,0,
27_03_2026_10_30,22663.80,22676.80,22637.80,22641.70,0,
27_03_2026_10_35,22641.20,22669.60,22639.80,22667.70,0,
27_03_2026_10_40,22667.60,22693.20,22664.40,22691.50,0,
27_03_2026_10_45,22691.70,22692.30,22671.60,22675.30,0,
27_03_2026_10_50,22674.80,22676.80,22649.40,22651.70,0,
27_03_2026_10_55,22651.90,22682.30,22649.90,22681.50,0,
27_03_2026_11_00,22681.20,22726.20,22678.80,22723.90,0,
27_03_2026_11_05,22723.20,22753.40,22720.50,22746.80,0,
27_03_2026_11_10,22748.60,22758.30,22702.40,22708.40,0,
27_03_2026_11_15,22707.80,22712.30,22663.40,22668.70,0,
27_03_2026_11_20,22668.50,22672.00,22645.10,22646.90,0,
27_03_2026_11_25,22648.30,22649.70,22634.80,22644.10,0,
27_03_2026_11_30,22645.10,22674.20,22643.90,22664.40,0,
27_03_2026_11_35,22664.70,22701.50,22664.00,22697.20,0,
