Date,Open,High,Low,Close,Volume,
04_05_2026_09_15,15372.20,15485.00,15365.20,15459.60,0,
04_05_2026_09_20,15460.80,15486.90,15455.70,15465.80,0,
04_05_2026_09_25,15464.70,15505.20,15464.70,15498.70,0,
04_05_2026_09_30,15498.00,15508.20,15478.80,15507.30,0,
04_05_2026_09_35,15507.00,15523.30,15500.00,15518.30,0,
04_05_2026_09_40,15518.50,15532.10,15518.50,15528.40,0,
04_05_2026_09_45,15529.70,15540.80,15527.80,15534.50,0,
04_05_2026_09_50,15535.20,15536.20,15508.40,15513.80,0,
04_05_2026_09_55,15514.20,15530.90,15512.20,15525.50,0,
04_05_2026_10_00,15525.60,15534.30,15502.50,15505.80,0,
04_05_2026_10_05,15505.80,15516.80,15496.40,15499.10,0,
04_05_2026_10_10,15499.20,15504.90,15472.60,15473.90,0,
04_05_2026_10_15,15472.90,15479.40,15456.30,15462.20,0,
04_05_2026_10_20,15461.50,15464.80,15434.30,15435.20,0,
04_05_2026_10_25,15434.80,15463.00,15432.80,15462.60,0,
04_05_2026_10_30,15462.80,15479.40,15453.80,15459.70,0,
04_05_2026_10_35,15459.90,15475.50,15453.70,15473.30,0,
04_05_2026_10_40,15473.90,15477.50,15464.90,15475.20,0,
04_05_2026_10_45,15475.80,15493.00,15471.50,15488.00,0,
04_05_2026_10_50,15488.30,15497.20,15484.80,15487.10,0,
04_05_2026_10_55,15487.00,15487.50,15458.70,15458.80,0,
04_05_2026_11_00,15459.60,15468.50,15452.50,15466.50,0,
04_05_2026_11_05,15466.50,15479.80,15459.70,15473.80,0,
04_05_2026_11_10,15474.20,15484.50,15468.00,15484.20,0,
04_05_2026_11_15,15483.90,15495.60,15483.00,15488.00,0,
04_05_2026_11_20,15488.10,15493.30,15482.40,15487.50,0,
04_05_2026_11_25,15487.50,15491.50,15480.70,15488.70,0,
04_05_2026_11_30,15488.30,15495.20,15484.20,15486.00,0,
04_05_2026_11_35,15485.80,15498.60,15483.50,15497.60,0,
04_05_2026_11_40,15497.90,15497.90,15485.00,15489.40,0,
04_05_2026_11_45,15489.40,15498.50,15485.60,15489.80,0,
04_05_2026_11_50,15489.80,15495.30,15482.70,15484.00,0,
04_05_2026_11_55,15485.00,15488.70,15476.00,15480.00,0,
04_05_2026_12_00,15480.40,15484.20,15469.40,15471.80,0,
04_05_2026_12_05,15472.00,15476.20,15451.30,15456.50,0,
04_05_2026_12_10,15456.50,15457.20,15399.20,15400.30,0,
04_05_2026_12_15,15399.80,15416.40,15392.50,15416.20,0,
04_05_2026_12_20,15415.80,15422.50,15404.50,15412.20,0,
04_05_2026_12_25,15412.30,15419.00,15405.50,15409.30,0,
04_05_2026_12_30,15409.00,15411.00,15390.10,15390.80,0,
04_05_2026_12_35,15390.90,15403.50,15388.70,15402.70,0,
04_05_2026_12_40,15402.40,15408.50,15379.70,15379.70,0,
04_05_2026_12_45,15380.30,15385.00,15356.30,15363.00,0,
04_05_2026_12_50,15363.10,15379.20,15362.60,15368.70,0,
04_05_2026_12_55,15369.40,15375.50,15362.30,15365.20,0,
04_05_2026_13_00,15365.20,15366.50,15358.70,15363.50,0,
04_05_2026_13_05,15363.20,15370.00,15360.50,15368.50,0,
04_05_2026_13_10,15368.20,15376.80,15366.80,15368.90,0,
04_05_2026_13_15,15368.80,15370.20,15347.00,15359.00,0,
04_05_2026_13_20,15358.70,15359.60,15333.80,15338.90,0,
04_05_2026_13_25,15339.20,15343.30,15305.20,15305.70,0,
04_05_2026_13_30,15304.30,15312.90,15292.00,15297.80,0,
04_05_2026_13_35,15296.60,15312.80,15286.30,15311.70,0,
04_05_2026_13_40,15312.50,15353.50,15312.20,15349.80,0,
04_05_2026_13_45,15350.00,15355.30,15344.30,15353.70,0,
04_05_2026_13_50,15353.90,15365.00,15345.20,15348.80,0,
04_05_2026_13_55,15348.60,15350.80,15324.70,15337.40,0,
04_05_2026_14_00,15336.80,15340.80,15324.30,15334.50,0,
04_05_2026_14_05,15335.10,15343.70,15331.20,15341.90,0,
04_05_2026_14_10,15342.40,15373.90,15342.40,15369.50,0,
04_05_2026_14_15,15369.50,15404.50,15369.00,15397.00,0,
04_05_2026_14_20,15396.60,15404.20,15380.90,15385.20,0,
04_05_2026_14_25,15385.50,15390.00,15371.10,15375.80,0,
04_05_2026_14_30,15376.00,15381.00,15364.00,15369.90,0,
04_05_2026_14_35,15369.30,15371.60,15360.30,15361.50,0,
04_05_2026_14_40,15362.70,15367.00,15343.20,15362.50,0,
04_05_2026_14_45,15362.40,15362.80,15345.20,15346.70,0,
04_05_2026_14_50,15347.00,15363.80,15344.90,15361.70,0,
04_05_2026_14_55,15363.00,15371.70,15355.00,15363.80,0,
04_05_2026_15_00,15364.80,15372.60,15352.70,15368.70,0,
04_05_2026_15_05,15369.80,15384.00,15366.00,15380.20,0,
04_05_2026_15_10,15380.30,15384.00,15370.70,15373.00,0,
04_05_2026_15_15,15373.50,15376.70,15359.40,15365.50,0,
04_05_2026_15_20,15366.60,15373.20,15360.50,15363.20,0,
04_05_2026_15_25,15364.80,15377.50,15361.50,15372.50,0,
05_05_2026_09_15,15345.80,15350.30,15267.70,15337.90,0,
05_05_2026_09_20,15337.10,15359.20,15312.80,15340.00,0,
05_05_2026_09_25,15341.00,15343.00,15300.50,15313.50,0,
05_05_2026_09_30,15313.30,15353.40,15312.00,15350.50,0,
05_05_2026_09_35,15350.40,15368.80,15337.50,15340.50,0,
05_05_2026_09_40,15340.90,15359.10,15330.60,15349.50,0,
