Date,Open,High,Low,Close,Volume,
16-Jul-20,6940.75,7027.25,6853.75,7015.9,0,
17-Jul-20,7039.55,7154.75,7016.85,7137.3,0,
20-Jul-20,7161.7,7183.2,7105.55,7175.85,0,
21-Jul-20,7209.0,7317.55,7198.25,7295.75,0,
22-Jul-20,7301.0,7306.75,7154.15,7203.95,0,
23-Jul-20,7205.8,7313.0,7172.4,7301.05,0,
24-Jul-20,7228.4,7271.0,7178.85,7218.65,0,
27-Jul-20,7233.9,7238.6,7121.95,7186.45,0,
28-Jul-20,7193.15,7438.05,7185.25,7416.9,0,
29-Jul-20,7425.75,7464.15,7299.7,7330.25,0,
30-Jul-20,7340.8,7398.9,7270.55,7287.85,0,
31-Jul-20,7311.45,7328.5,7225.75,7279.75,0,
03-Aug-20,7323.65,7469.1,7224.8,7240.25,0,
04-Aug-20,7282.45,7381.65,7273.2,7353.95,0,
05-Aug-20,7397.0,7511.8,7392.2,7489.1,0,
06-Aug-20,7521.95,7532.4,7433.1,7498.25,0,
07-Aug-20,7484.95,7598.3,7468.2,7554.45,0,
10-Aug-20,7593.7,7688.7,7577.5,7621.3,0,
11-Aug-20,7675.4,7699.05,7618.3,7630.35,0,
12-Aug-20,7613.75,7808.1,7586.75,7785.05,0,
13-Aug-20,7801.1,7896.1,7757.05,7879.75,0,
14-Aug-20,7888.65,7898.9,7657.95,7677.65,0,
17-Aug-20,7757.6,7879.55,7667.75,7865.55,0,
18-Aug-20,7879.5,7979.3,7878.3,7941.85,0,
19-Aug-20,7987.15,8029.75,7927.6,7941.35,0,
20-Aug-20,7878.7,7948.5,7844.65,7911.6,0,
21-Aug-20,7994.9,7995.35,7910.55,7934.7,0,
24-Aug-20,7972.7,8062.95,7932.5,7948.4,0,
25-Aug-20,7997.0,8034.4,7933.2,7983.6,0,
26-Aug-20,8096.6,8143.25,8074.25,8100.5,0,
27-Aug-20,8141.05,8198.5,8080.7,8183.0,0,
28-Aug-20,8209.1,8223.6,8101.05,8111.85,0,
