Date,NIFTY 50,NIFTY METALS,NIFTY AUTO,NIFTY IT,NIFTY RURAL,NIFTY MEDIA,NIFTY OIL GAS
16-Jul-20,7015.9,2070.65,18196.09536,16926.1,18196.09536,18015.936,
17-Jul-20,7137.3,2103,17659.30056,16821.3,17659.30056,17484.456,
20-Jul-20,7175.85,2106,18076.46086,17258.3,18076.46086,17897.486,
21-Jul-20,7295.75,2118.6,18219.91823,17273.2,18219.91823,18039.523,
22-Jul-20,7203.95,2113.95,18019.76451,17076.1,18019.76451,17841.351,
23-Jul-20,7301.05,2131.4,17771.02878,17045.2,17771.02878,17595.078,
24-Jul-20,7218.65,2087.5,18020.80481,17286,18020.80481,17842.381,
27-Jul-20,7186.45,2094.4,18450.44871,17626.8,18450.44871,18267.771,
28-Jul-20,7416.9,2141.3,18833.27911,18042.8,18833.27911,18646.811,
29-Jul-20,7330.25,2160.75,18838.48061,17880.5,18838.48061,18651.961,
30-Jul-20,7287.85,2135.15,18988.28381,18003.6,18988.28381,18800.281,
31-Jul-20,7279.75,2147.3,19093.14605,18071.8,19093.14605,18904.105,
3-Aug-20,7240.25,2156.15,18871.87424,17965.8,18871.87424,18685.024,
4-Aug-20,7353.95,2177.35,18821.1076,17808,18821.1076,18634.76,
5-Aug-20,7489.1,2263.8,18870.20976,17869.8,18870.20976,18683.376,
6-Aug-20,7498.25,2294.75,18957.17884,18188.8,18957.17884,18769.484,
7-Aug-20,7554.45,2314.35,18915.04669,18004.2,18915.04669,18727.769,
10-Aug-20,7621.3,2332,18938.86956,18159.6,18938.86956,18751.356,
11-Aug-20,7630.35,2370.65,19070.46751,18057.1,19070.46751,18881.651,
12-Aug-20,7785.05,2354.8,18839.62494,18066,18839.62494,18653.094,
13-Aug-20,7879.75,2380.65,19083.36723,18107.2,19083.36723,18894.423,
14-Aug-20,7677.65,2405.8,18964.77303,18022.7,18964.77303,18777.003,
17-Aug-20,7865.55,2464.25,19044.66807,18223.6,19044.66807,18856.107,
18-Aug-20,7941.85,2507.5,19115.72056,18270.3,19115.72056,18926.456,
19-Aug-20,7941.35,2513.15,19094.49844,18210.8,19094.49844,18905.444,
20-Aug-20,7911.6,2538.9,18987.86769,18126.1,18987.86769,18799.869,
21-Aug-20,7934.7,2523.6,19019.38878,18065.3,19019.38878,18831.078,
24-Aug-20,7948.4,2526.1,18842.84987,18010.9,18842.84987,18656.287,
25-Aug-20,7983.6,2507.5,18774.81425,17973.7,18774.81425,18588.925,
26-Aug-20,8100.5,2527.8,18887.89486,18128,18887.89486,18700.886,
27-Aug-20,8183,2531.05,19043.31568,18102.7,19043.31568,18854.768,
28-Aug-20,8111.85,2520.35,18989.22008,18122,18989.22008,18801.208,
31-Aug-20,7840.35,2420.6,19168.98392,17928.8,19168.98392,18979.192,
1-Sep-20,7885.95,2496.75,18886.02232,17814.1,18886.02232,18699.032,
2-Sep-20,7976.95,2541.35,18844.82644,18077,18844.82644,18658.244,
3-Sep-20,8049.55,2527.3,19243.36537,18348.6,19243.36537,19052.837,
4-Sep-20,7996.55,2451.35,18995.66994,18073.9,18995.66994,18807.594,
7-Sep-20,7957.85,2450.05,18942.71867,18176.8,18942.71867,18755.167,
8-Sep-20,7888,2376.85,19424.27354,18395.8,19424.27354,19231.954,
9-Sep-20,7903.1,2397.2,19182.71588,18261.5,19182.71588,18992.788,
10-Sep-20,7945,2369.8,19158.99704,18395.8,19158.99704,18969.304,
11-Sep-20,7956.8,2384.3,19496.05424,18633.2,19496.05424,19303.024,
14-Sep-20,8035.35,2387.05,20381.86969,19505.1,20381.86969,20180.069,
15-Sep-20,8033.5,2385.55,20621.8669,19627.3,20621.8669,20417.69,
16-Sep-20,8156.2,2396.35,20600.43672,19770.3,20600.43672,20396.472,
17-Sep-20,8128.65,2363.3,20821.29241,19817.7,20821.29241,20615.141,
18-Sep-20,8161.7,2362.2,20876.42831,19827.1,20876.42831,20669.731,
21-Sep-20,7832.2,2240.35,21150.96348,19729,21150.96348,20941.548,
22-Sep-20,7695.25,2213.95,20923.97002,19866.1,20923.97002,20716.802,
23-Sep-20,7690.9,2205.25,21041.41989,19805.7,21041.41989,20833.089,
24-Sep-20,7418.85,2111.85,20450.2174,18973.1,20450.2174,20247.74,
25-Sep-20,7669.5,2172.65,20471.54355,19629.3,20471.54355,20268.855,
28-Sep-20,7902.55,2237,20636.32707,19783.1,20636.32707,20432.007,
29-Sep-20,7925.2,2280.9,20958.19589,19831.8,20958.19589,20750.689,
30-Sep-20,7908.1,2242.55,20856.55858,19951.3,20856.55858,20650.058,
1-Oct-20,7966.1,2261.25,21010.00283,20110.4,21010.00283,20801.983,
5-Oct-20,7957.95,2318.85,21784.81827,20809,21784.81827,21569.127,
6-Oct-20,8058.1,2302.7,21841.41059,20896.8,21841.41059,21625.159,
7-Oct-20,8170.05,2267.75,21972.80048,21017.4,21972.80048,21755.248,
8-Oct-20,8183.7,2272.4,23062.72279,21697.2,23062.72279,22834.379,
9-Oct-20,8163.5,2260.85,22806.28884,21837.7,22806.28884,22580.484,
12-Oct-20,8102.5,2240.85,23219.496,22202.1,23219.496,22989.6,
13-Oct-20,8052.85,2249.65,23530.5457,22492.6,23530.5457,23297.57,
14-Oct-20,8031.05,2251.95,23396.65909,22204.1,23396.65909,23165.009,
15-Oct-20,7935.35,2240.95,23480.09115,21567.3,23480.09115,23247.615,
16-Oct-20,7959.45,2329.85,22791.72464,21538.2,22791.72464,22566.064,
19-Oct-20,7870.35,2367.85,22557.65714,21391.9,22557.65714,22334.314,
20-Oct-20,7896.7,2363.35,22657.52594,21694.3,22657.52594,22433.194,
21-Oct-20,7878.05,2416.05,22774.55969,21577.7,22774.55969,22549.069,
22-Oct-20,7864.15,2432.5,22644.31413,21413.5,22644.31413,22420.113,
23-Oct-20,8094.6,2443,22492.95048,21523.6,22492.95048,22270.248,
26-Oct-20,7833.65,2357.55,22466.11074,21265.7,22466.11074,22243.674,
27-Oct-20,7930.65,2359.6,22232.87548,21023.4,22232.87548,22012.748,
28-Oct-20,7922.75,2325.4,22048.95044,20810.3,22048.95044,21830.644,
29-Oct-20,7846.75,2307.7,21805.83233,20876.9,21805.83233,21589.933,
30-Oct-20,7758.4,2343.6,22051.55119,20916.8,22051.55119,21833.219,
2-Nov-20,7732.25,2338.9,21859.19972,20732.3,21859.19972,21642.772,
3-Nov-20,7848.85,2391.2,21864.92137,20736,21864.92137,21648.437,
4-Nov-20,7901.75,2383.8,22333.57652,21104.6,22333.57652,22112.452,
5-Nov-20,7995.5,2488.65,22466.3188,21385.7,22466.3188,22243.88,
6-Nov-20,8006.1,2500.35,22451.96266,21492.3,22451.96266,22229.666,
9-Nov-20,8067.65,2545.25,22810.55407,21820.2,22810.55407,22584.707,
10-Nov-20,8127.25,2556.7,22504.91393,20978.5,22504.91393,22282.093,
11-Nov-20,8255.2,2645.05,22226.73771,21330.5,22226.73771,22006.671,
12-Nov-20,8284.05,2636.9,22480.98703,21363.3,22480.98703,22258.403,
13-Nov-20,8308.9,2681,22326.9186,21436.8,22326.9186,22105.86,
17-Nov-20,8425.55,2761.35,22580.95986,21488.6,22580.95986,22357.386,
18-Nov-20,8686.6,2772.5,22425.85113,21314.8,22425.85113,22203.813,
19-Nov-20,8628.3,2752.65,22316.30754,21114.4,22316.30754,22095.354,
20-Nov-20,8684.75,2774.75,22367.17821,21409.2,22367.17821,22145.721,
23-Nov-20,8738.6,2808.6,22935.59813,22007.1,22935.59813,22708.513,
24-Nov-20,8887.95,2839.15,23179.75654,22064.3,23179.75654,22950.254,
25-Nov-20,8738.45,2816.55,23024.85587,21705.9,23024.85587,22796.887,
26-Nov-20,8767.75,2925.05,22802.54376,21859.9,22802.54376,22576.776,
27-Nov-20,8891.6,2925.75,22858.40787,21764.9,22858.40787,22632.087,
1-Dec-20,8987.15,2974.05,23111.72092,22170.9,23111.72092,22882.892,
2-Dec-20,9093.7,3050.2,23273.17548,22319,23273.17548,23042.748,
3-Dec-20,9245.3,3126.1,23363.88964,22202.2,23363.88964,23132.564,
4-Dec-20,9302.2,3161.35,23248.41634,22309.8,23248.41634,23018.234,
7-Dec-20,9311.1,3161.2,23388.96087,22440.9,23388.96087,23157.387,
