Date,NIFTY,BANKNIFTY,NIFTY_AUTO,NIFTY_CONSUMER_DURABLE,NIFTY_FIN_SERV,NIFTY_FMCG,NIFTYIT,NIFTY_MEDIA,NIFTY_METAL,NIFTY_OIL_GAS,NIFTY_PHARMA,NIFTY_PSU_BANK,NIFTY_PVT_BANK,NIFTY500_HEALTHCARE,NIFTY_REALITY,NIFTY_CONSUM,NIFTY_INDIA_DIGITAL
1784226600000,24334.3,58521.4,27099.8,27020.4,26903.3,48748.7,29226.6,1521.45,12437,27020.4,25645,8381.75,28508.5,27020.4,918.7,11705,27020.4
1784140200000,24072.8,57582.2,26767.6,27564.1,26556.7,48408,28722.6,1521.4,12495.9,27564.1,26008.1,8347.9,27915.6,27564.1,906.15,11660.1,27564.1
1784053800000,24078.5,57757.9,26645.1,27869.8,26693.3,48286.5,28532.2,1503.7,12536.9,27869.8,26003.6,8386.85,28002.5,27869.8,915.15,11635,27869.8
1783967400000,24052.1,57462.3,26547.5,28309.8,26536.7,48524.9,28724.8,1510.6,12677.7,28309.8,25907.1,8307.9,27915.9,28309.8,918.65,11611.4,28309.8
1783881000000,24211,58131.4,26981.5,28339.7,26836.2,48809.9,29015.8,1515.3,12601.5,28339.7,25643.3,8460.6,28154.1,28339.7,937.15,11667.2,28339.7
1783621800000,24206.9,58045.9,26860.8,28295.1,26831.1,49310.6,28010.4,1484.3,12688.9,28295.1,25674.1,8451.6,28083.9,28295.1,938.6,11737.8,28295.1
1783535400000,23962.8,57252.4,26676.3,28455,26482.4,49350.1,27471.2,1482.8,12503.3,28455,25656.2,8203.2,27762.8,28455,906.95,11700.4,28455
1783449000000,23882.1,56742.6,26733.4,28210.6,26323.8,48977.4,27555.2,1452.45,12468.7,28210.6,25429.8,8072.3,27591.7,28210.6,875.95,11628.6,28210.6
1783362600000,24398.7,58200.7,27343.5,28069.5,26985.1,50225.9,27939.2,1486.8,12582.8,28069.5,25677.7,8298.3,28305.3,28069.5,892.6,11874.3,28069.5
1783276200000,24430.3,58291.5,27353.9,28463.2,26993.8,50196.4,27276.4,1497.95,12722.5,28463.2,25866.2,8333.95,28347.2,28463.2,906.95,11873.2,28463.2
1783017000000,24270.8,57938.5,26988.1,28287.4,26875.1,50096.4,27439.4,1512.3,12598.5,28287.4,25745.2,8407.6,28215.4,28287.4,890.8,11795.7,28287.4
1782930600000,24175.7,58031.6,27108.2,28306.2,26862.4,50084.7,26965.1,1519.15,12503.9,28306.2,25308.9,8539.35,28215.4,28306.2,871.7,11768,28306.2
1782844200000,24005.8,58033.1,26783.2,28126.3,26797.8,49806.8,25769.8,1509.05,12394.8,28126.3,25182.7,8576.6,28177.8,28126.3,859.25,11692.6,28126.3
1782757800000,23865.8,57542.9,26479.8,28385.2,26554.6,48794.2,26299.1,1478.4,12519.2,28385.2,25326.4,8492.65,27929.2,28385.2,829.55,11514.9,28385.2
1782671400000,23946.2,57727.4,26417.6,28276.9,26598.3,49127.6,27038.5,1489.85,12545,28276.9,25227.9,8553.85,28050.2,28276.9,818.85,11491.4,28276.9
1782325800000,24056,58177.1,26977.8,28186.2,26770.6,49419.2,27330.8,1509.8,12445.7,28186.2,24969.5,8636.1,28322.6,28186.2,826.25,11592.9,28186.2
1782239400000,24021.7,58150.4,26384.3,28154.1,26736,49085.1,27566.7,1519.3,12618.8,28154.1,25018.9,8628.2,28276.8,28154.1,823.55,11509.2,28154.1
1782153000000,23824.1,57183.8,26496.5,27807.1,26329.3,49059.1,27012.1,1514.4,12669.1,27807.1,24989.9,8591,27762.6,27807.1,806.05,11510,27807.1
1782066600000,24102.9,57935.6,26703.4,27689.3,26585.6,49355.1,27628.6,1536.95,13091.2,27689.3,24762.9,8763.9,27977.9,27689.3,815.15,11607.8,27689.3
1781807400000,24013.1,57685.8,26583.3,27802.6,26431.2,49558.7,27426.8,1515.4,13020.8,27802.6,24460.3,8716.5,27892.1,27802.6,811.9,11621.6,27802.6
1781721000000,24168,57963.8,26746.4,27674.1,26581.9,49654.5,28466.4,1513.95,13010.4,27674.1,24282.2,8770.7,28031.3,27674.1,820.2,11616,27674.1
1781634600000,24085.7,57585.1,26724.4,26799,26404.9,49556.1,28809.6,1505.65,13011.4,26799,24146.6,8713.1,27893.3,26799,814.6,11555.2,26799
1781548200000,23989.2,57297.1,26891.6,26699.1,26442.3,49642.4,28568.1,1506.3,12881.5,26699.1,24157.8,8563.2,27916.9,26699.1,818.1,11485.8,26699.1
