Date,NIFTY 50,NIFTY AUTO,NIFTY MEDIA,NIFTY METALS,NIFTY IT,NIFTY RURAL
27_03_2026_09_15,23041.8,24613.8,1286.7,11163.8,29832.1,
27_03_2026_09_20,23075.1,24663,1293.1,11274.5,29957.9,
27_03_2026_09_25,23056.8,24676.1,1299.35,11264.8,29951.8,
27_03_2026_09_30,23018.3,24646.6,1298.9,11237.3,29918.3,
27_03_2026_09_35,23024.2,24620.2,1295.05,11221.1,29896.3,
27_03_2026_09_40,23053.6,24642.8,1293.8,11234,29944.6,
27_03_2026_09_45,23039.2,24566.2,1291.1,11222.7,29905.5,
27_03_2026_09_50,23015.3,24478.5,1288.5,11211.6,29850.1,
27_03_2026_09_55,22992.2,24434.6,1284.8,11204,29751,
27_03_2026_10_00,23024.8,24503.7,1282.65,11230.4,29777.7,
27_03_2026_10_05,23015.6,24509.3,1278.8,11216.7,29759.9,
27_03_2026_10_10,22980.5,24444.8,1276.7,11186.5,29799.9,
27_03_2026_10_15,22973.3,24399.7,1275.35,11178.5,29836.4,
27_03_2026_10_20,23007.9,24472.6,1275.8,11192.2,29840.2,
27_03_2026_10_25,23006.8,24488.2,1274.4,11201.3,29824.9,
27_03_2026_10_30,23009.4,24476,1274.5,11213.2,29836.7,
27_03_2026_10_35,23018.7,24478.5,1272.65,11222.2,29851.2,
27_03_2026_10_40,22989.2,24456.8,1271.05,11226.2,29755,
27_03_2026_10_45,22977.9,24443.5,1270,11202.8,29729.7,
27_03_2026_10_50,22952.1,24404.2,1268.65,11186.8,29705.7,
27_03_2026_10_55,22973.5,24412.8,1270.95,11202.3,29751.8,
27_03_2026_11_00,22979.2,24404.9,1272.65,11225.2,29718.4,
27_03_2026_11_05,22989.3,24418,1272.55,11237.6,29758.4,
27_03_2026_11_10,22990.4,24414.5,1271.1,11232.3,29800.2,
27_03_2026_11_15,22960.2,24409.6,1269.45,11237.6,29749.1,
27_03_2026_11_20,22947.3,24403.7,1266.9,11227.5,29678.2,
27_03_2026_11_25,22934.5,24410.4,1266.1,11218.2,29676.6,
27_03_2026_11_30,22938.9,24386.7,1269.75,11215.2,29698.1,
27_03_2026_11_35,22950.4,24393.2,1270.15,11218.2,29715.2,
27_03_2026_11_40,22950.6,24405.8,1271,11225.1,29701.9,
27_03_2026_11_45,22949.2,24396.2,1271.35,11227,29711.4,
27_03_2026_11_50,22958.3,24411.7,1277.55,11236.2,29745.4,
27_03_2026_11_55,22946.7,24392.6,1275.1,11224.3,29768.4,
27_03_2026_12_00,22936.8,24359.8,1273.55,11207.5,29776.9,
27_03_2026_12_05,22939.3,24348.8,1274.3,11205.4,29770.8,
27_03_2026_12_10,22934.3,24333.8,1276.75,11195.7,29794.2,
27_03_2026_12_15,22909.2,24308.9,1274.05,11177.3,29742.8,
27_03_2026_12_20,22932.3,24349.1,1273.75,11196.5,29786.1,
27_03_2026_12_25,22962.3,24392.8,1279.8,11223.3,29787.2,
27_03_2026_12_30,22958,24414.2,1278.6,11213.5,29790.1,
27_03_2026_12_35,22954.8,24416.6,1276.65,11216.5,29781.2,
27_03_2026_12_40,22964.7,24458.2,1278.9,11229.1,29824.2,
27_03_2026_12_45,22956.8,24443.7,1278.6,11224.8,29811.8,
27_03_2026_12_50,22956.3,24487.8,1278.3,11216.5,29785.3,
27_03_2026_12_55,22945.7,24470.8,1280.35,11218,29751.7,
27_03_2026_13_00,22926.6,24437.7,1278.4,11213,29721.3,
27_03_2026_13_05,22926.4,24430.5,1281.2,11204.5,29730.3,
27_03_2026_13_10,22943.7,24470.9,1283.45,11222,29775.3,
27_03_2026_13_15,22972.8,24512.8,1284.7,11252.8,29783.8,
27_03_2026_13_20,22960.3,24480.8,1289.15,11255.5,29736.5,
27_03_2026_13_25,22936.4,24458.9,1287.1,11247.6,29674.3,
27_03_2026_13_30,22922.6,24436.1,1288.5,11234.5,29680.8,
27_03_2026_13_35,22912.3,24422.5,1288,11217.1,29688.2,
27_03_2026_13_40,22930.3,24459,1289.2,11233.7,29724.9,
27_03_2026_13_45,22922.9,24440.2,1292.15,11223.8,29694.9,
27_03_2026_13_50,22928.6,24461.2,1294.05,11221.8,29702.9,
27_03_2026_13_55,22922.8,24463.9,1295.4,11223.3,29701.6,
27_03_2026_14_00,22919.9,24469.6,1296.2,11229.2,29682.4,
27_03_2026_14_05,22908.6,24463.7,1297.35,11230.2,29635.3,
27_03_2026_14_10,22911.1,24482.1,1302.25,11234.8,29575.2,
27_03_2026_14_15,22895.5,24447,1301.35,11222.2,29591.9,
27_03_2026_14_20,22888.6,24451.2,1300.55,11219.7,29596.8,
27_03_2026_14_25,22885.2,24441.7,1300.55,11219.1,29603,
27_03_2026_14_30,22856.7,24404.2,1298.35,11200,29557.9,
27_03_2026_14_35,22837,24383,1298.3,11191.5,29546.9,
27_03_2026_14_40,22852.6,24419.7,1296.7,11194.9,29559.7,
27_03_2026_14_45,22855.2,24414.4,1296.5,11199.7,29541.3,
27_03_2026_14_50,22856.4,24406.8,1297.05,11203.8,29574.7,
27_03_2026_14_55,22845,24406.3,1295.2,11183.8,29570.2,
27_03_2026_15_00,22831.3,24366.3,1298.7,11169.8,29594.8,
27_03_2026_15_05,22819.8,24341.8,1300,11163.8,29574.2,
27_03_2026_15_10,22814.4,24331.3,1297.75,11161.3,29546.7,
27_03_2026_15_15,22820.3,24372.8,1293.9,11154.7,29535.6,
27_03_2026_15_20,22815.8,24361.3,1286.9,11160.7,29513.8,
27_03_2026_15_25,22839.5,24355.6,1285.1,11159.8,29468.7,
30_03_2026_09_15,22522.4,24003.9,1279.1,11189.6,29346.8,
30_03_2026_09_20,22529.3,23997.2,1286.45,11232.1,29305.6,
30_03_2026_09_25,22580.8,24028.3,1295.4,11278.5,29352.3,
30_03_2026_09_30,22683.6,24175.4,1299.2,11322.7,29377.3,
30_03_2026_09_35,22677.4,24128.6,1302.4,11304.5,29417.7,
30_03_2026_09_40,22659.2,24116.9,1304.2,11324,29366.6,
30_03_2026_09_45,22630.4,24119.4,1301.75,11325,29307.3,
30_03_2026_09_50,22618.5,24134.7,1296.5,11331.5,29317.9,
30_03_2026_09_55,22615.3,24130.2,1294.9,11316.8,29309,
30_03_2026_10_00,22651.2,24169.6,1294.55,11323.2,29311.9,
30_03_2026_10_05,22601.6,24081.7,1292.2,11277,29287.2,
