Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,23169.20,23186.10,23029.40,23041.80,0,
27_03_2026_09_20,23039.90,23101.20,23025.50,23075.10,0,
27_03_2026_09_25,23072.70,23087.90,23054.60,23056.80,0,
27_03_2026_09_30,23056.60,23063.80,23016.80,23018.30,0,
27_03_2026_09_35,23018.10,23024.20,23000.80,23024.20,0,
27_03_2026_09_40,23024.30,23055.80,23022.30,23053.60,0,
27_03_2026_09_45,23053.10,23054.60,23024.80,23039.20,0,
27_03_2026_09_50,23038.70,23040.10,23014.30,23015.30,0,
27_03_2026_09_55,23014.30,23017.30,22978.40,22992.20,0,
27_03_2026_10_00,22991.40,23034.90,22988.80,23024.80,0,
27_03_2026_10_05,23024.30,23024.30,22998.30,23015.60,0,
27_03_2026_10_10,23015.50,23015.50,22977.20,22980.50,0,
27_03_2026_10_15,22980.90,22986.40,22971.80,22973.30,0,
27_03_2026_10_20,22973.30,23011.20,22967.30,23007.90,0,
27_03_2026_10_25,23007.70,23014.10,22991.30,23006.80,0,
27_03_2026_10_30,23006.60,23038.70,23002.90,23009.40,0,
27_03_2026_10_35,23009.60,23020.40,22996.20,23018.70,0,
27_03_2026_10_40,23018.40,23018.40,22987.00,22989.20,0,
27_03_2026_10_45,22988.30,22989.40,22973.00,22977.90,0,
27_03_2026_10_50,22977.70,22979.70,22948.50,22952.10,0,
27_03_2026_10_55,22952.20,22977.80,22948.10,22973.50,0,
27_03_2026_11_00,22973.40,22997.70,22967.10,22979.20,0,
27_03_2026_11_05,22979.20,22992.80,22972.70,22989.30,0,
27_03_2026_11_10,22990.50,23001.20,22976.80,22990.40,0,
27_03_2026_11_15,22990.90,22992.70,22956.20,22960.20,0,
27_03_2026_11_20,22959.70,22964.00,22946.70,22947.30,0,
27_03_2026_11_25,22948.80,22961.80,22927.30,22934.50,0,
27_03_2026_11_30,22935.30,22952.20,22929.30,22938.90,0,
27_03_2026_11_35,22939.70,22957.00,22934.80,22950.40,0,
27_03_2026_11_40,22951.40,22957.30,22933.10,22950.60,0,
27_03_2026_11_45,22950.80,22957.40,22943.40,22949.20,0,
27_03_2026_11_50,22949.10,22961.80,22946.40,22958.30,0,
27_03_2026_11_55,22958.10,22958.50,22938.80,22946.70,0,
27_03_2026_12_00,22946.00,22946.00,22917.20,22936.80,0,
27_03_2026_12_05,22936.40,22954.20,22932.40,22939.30,0,
27_03_2026_12_10,22938.30,22940.00,22924.50,22934.30,0,
27_03_2026_12_15,22932.90,22934.90,22905.90,22909.20,0,
27_03_2026_12_20,22908.90,22933.20,22905.60,22932.30,0,
27_03_2026_12_25,22932.80,22964.20,22924.10,22962.30,0,
27_03_2026_12_30,22962.80,22963.80,22930.70,22958.00,0,
27_03_2026_12_35,22957.80,22967.60,22950.70,22954.80,0,
27_03_2026_12_40,22954.90,22965.60,22938.90,22964.70,0,
27_03_2026_12_45,22965.00,22966.40,22944.40,22956.80,0,
27_03_2026_12_50,22957.90,22973.20,22939.90,22956.30,0,
27_03_2026_12_55,22956.60,22961.30,22942.20,22945.70,0,
27_03_2026_13_00,22945.10,22952.60,22925.80,22926.60,0,
27_03_2026_13_05,22926.20,22935.90,22925.30,22926.40,0,
27_03_2026_13_10,22926.60,22944.80,22920.00,22943.70,0,
27_03_2026_13_15,22943.20,22992.90,22939.70,22972.80,0,
27_03_2026_13_20,22970.90,22971.00,22945.10,22960.30,0,
27_03_2026_13_25,22961.70,22977.20,22935.80,22936.40,0,
27_03_2026_13_30,22935.80,22937.20,22918.30,22922.60,0,
27_03_2026_13_35,22922.90,22934.20,22909.30,22912.30,0,
27_03_2026_13_40,22911.80,22949.20,22909.40,22930.30,0,
27_03_2026_13_45,22931.30,22937.90,22920.80,22922.90,0,
27_03_2026_13_50,22923.20,22945.30,22920.40,22928.60,0,
27_03_2026_13_55,22929.60,22937.20,22912.80,22922.80,0,
27_03_2026_14_00,22922.90,22930.60,22916.20,22919.90,0,
27_03_2026_14_05,22920.20,22925.00,22895.10,22908.60,0,
27_03_2026_14_10,22909.70,22915.10,22884.50,22911.10,0,
27_03_2026_14_15,22911.70,22917.10,22893.80,22895.50,0,
27_03_2026_14_20,22896.20,22905.30,22882.20,22888.60,0,
27_03_2026_14_25,22891.20,22899.40,22872.10,22885.20,0,
27_03_2026_14_30,22886.70,22886.90,22852.70,22856.70,0,
27_03_2026_14_35,22858.70,22868.20,22831.30,22837.00,0,
27_03_2026_14_40,22837.90,22867.40,22832.40,22852.60,0,
27_03_2026_14_45,22854.30,22864.20,22848.10,22855.20,0,
27_03_2026_14_50,22856.80,22869.20,22848.40,22856.40,0,
27_03_2026_14_55,22858.40,22865.20,22840.40,22845.00,0,
27_03_2026_15_00,22843.60,22843.90,22813.70,22831.30,0,
27_03_2026_15_05,22829.90,22830.90,22812.20,22819.80,0,
27_03_2026_15_10,22821.20,22833.20,22811.20,22814.40,0,
27_03_2026_15_15,22814.80,22820.30,22805.30,22820.30,0,
27_03_2026_15_20,22819.60,22821.30,22804.60,22815.80,0,
27_03_2026_15_25,22814.80,22839.50,22807.80,22839.50,0,
30_03_2026_09_15,22574.70,22618.10,22470.20,22522.40,0,
30_03_2026_09_20,22521.20,22551.40,22500.10,22529.30,0,
30_03_2026_09_25,22526.10,22590.40,22516.90,22580.80,0,
30_03_2026_09_30,22581.40,22685.60,22576.80,22683.60,0,
30_03_2026_09_35,22681.60,22714.10,22661.90,22677.40,0,
30_03_2026_09_40,22675.80,22703.70,22652.70,22659.20,0,
30_03_2026_09_45,22659.60,22690.00,22628.80,22630.40,0,
30_03_2026_09_50,22630.20,22665.30,22617.20,22618.50,0,
30_03_2026_09_55,22617.90,22629.80,22596.90,22615.30,0,
30_03_2026_10_00,22614.70,22665.50,22604.70,22651.20,0,
