Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,1302.10,1304.00,1285.95,1286.70,0,
27_03_2026_09_20,1287.25,1295.80,1286.45,1293.10,0,
27_03_2026_09_25,1293.10,1302.95,1292.65,1299.35,0,
27_03_2026_09_30,1299.35,1300.60,1295.95,1298.90,0,
27_03_2026_09_35,1298.95,1299.75,1293.50,1295.05,0,
27_03_2026_09_40,1295.05,1296.15,1293.05,1293.80,0,
27_03_2026_09_45,1293.80,1293.80,1290.15,1291.10,0,
27_03_2026_09_50,1291.05,1291.15,1288.00,1288.50,0,
27_03_2026_09_55,1288.55,1288.75,1284.80,1284.80,0,
27_03_2026_10_00,1285.00,1285.25,1282.20,1282.65,0,
27_03_2026_10_05,1282.65,1282.65,1277.80,1278.80,0,
27_03_2026_10_10,1278.80,1278.80,1276.45,1276.70,0,
27_03_2026_10_15,1276.70,1277.60,1274.55,1275.35,0,
27_03_2026_10_20,1275.40,1277.20,1274.25,1275.80,0,
27_03_2026_10_25,1275.90,1277.30,1273.00,1274.40,0,
27_03_2026_10_30,1274.55,1277.75,1274.15,1274.50,0,
27_03_2026_10_35,1274.50,1275.65,1271.80,1272.65,0,
27_03_2026_10_40,1272.65,1272.65,1270.65,1271.05,0,
27_03_2026_10_45,1271.05,1271.15,1269.00,1270.00,0,
27_03_2026_10_50,1270.00,1270.55,1268.50,1268.65,0,
27_03_2026_10_55,1268.70,1273.00,1268.55,1270.95,0,
27_03_2026_11_00,1271.00,1274.70,1271.00,1272.65,0,
27_03_2026_11_05,1272.65,1272.70,1271.40,1272.55,0,
27_03_2026_11_10,1272.55,1274.20,1269.60,1271.10,0,
27_03_2026_11_15,1271.10,1271.20,1268.10,1269.45,0,
27_03_2026_11_20,1269.50,1269.50,1266.65,1266.90,0,
27_03_2026_11_25,1266.95,1267.25,1265.70,1266.10,0,
27_03_2026_11_30,1266.10,1270.90,1265.95,1269.75,0,
27_03_2026_11_35,1269.75,1271.05,1269.70,1270.15,0,
27_03_2026_11_40,1270.15,1271.35,1268.60,1271.00,0,
27_03_2026_11_45,1271.00,1273.50,1270.85,1271.35,0,
27_03_2026_11_50,1271.05,1277.60,1271.05,1277.55,0,
27_03_2026_11_55,1277.55,1277.75,1274.35,1275.10,0,
27_03_2026_12_00,1275.10,1275.10,1272.25,1273.55,0,
27_03_2026_12_05,1273.55,1274.60,1272.80,1274.30,0,
27_03_2026_12_10,1274.35,1276.95,1273.50,1276.75,0,
27_03_2026_12_15,1276.75,1277.50,1273.70,1274.05,0,
27_03_2026_12_20,1274.05,1274.05,1271.85,1273.75,0,
27_03_2026_12_25,1273.75,1279.80,1273.55,1279.80,0,
27_03_2026_12_30,1279.85,1279.90,1278.05,1278.60,0,
27_03_2026_12_35,1278.60,1280.15,1276.35,1276.65,0,
27_03_2026_12_40,1276.65,1279.00,1275.95,1278.90,0,
27_03_2026_12_45,1278.90,1279.65,1278.55,1278.60,0,
27_03_2026_12_50,1278.60,1280.55,1277.00,1278.30,0,
27_03_2026_12_55,1278.30,1280.80,1278.25,1280.35,0,
27_03_2026_13_00,1280.35,1282.75,1278.40,1278.40,0,
27_03_2026_13_05,1278.40,1281.55,1278.15,1281.20,0,
27_03_2026_13_10,1281.20,1283.90,1280.85,1283.45,0,
27_03_2026_13_15,1283.45,1285.50,1283.20,1284.70,0,
27_03_2026_13_20,1284.75,1289.95,1284.75,1289.15,0,
27_03_2026_13_25,1289.15,1290.25,1286.85,1287.10,0,
27_03_2026_13_30,1287.15,1289.05,1286.85,1288.50,0,
27_03_2026_13_35,1288.50,1289.35,1287.50,1288.00,0,
27_03_2026_13_40,1287.95,1289.30,1287.80,1289.20,0,
27_03_2026_13_45,1289.20,1293.35,1289.00,1292.15,0,
27_03_2026_13_50,1292.15,1294.70,1291.80,1294.05,0,
27_03_2026_13_55,1294.05,1296.55,1293.40,1295.40,0,
27_03_2026_14_00,1295.45,1297.80,1295.30,1296.20,0,
27_03_2026_14_05,1296.10,1298.05,1295.10,1297.35,0,
27_03_2026_14_10,1297.35,1302.30,1296.40,1302.25,0,
27_03_2026_14_15,1302.20,1302.50,1300.50,1301.35,0,
27_03_2026_14_20,1301.35,1302.05,1299.80,1300.55,0,
27_03_2026_14_25,1300.55,1301.75,1299.65,1300.55,0,
27_03_2026_14_30,1300.45,1300.70,1297.75,1298.35,0,
27_03_2026_14_35,1298.25,1300.35,1297.90,1298.30,0,
27_03_2026_14_40,1298.30,1299.80,1296.70,1296.70,0,
27_03_2026_14_45,1296.70,1298.05,1296.15,1296.50,0,
27_03_2026_14_50,1296.50,1297.55,1295.60,1297.05,0,
27_03_2026_14_55,1296.95,1297.75,1295.20,1295.20,0,
27_03_2026_15_00,1295.40,1299.20,1292.95,1298.70,0,
27_03_2026_15_05,1298.80,1301.80,1298.55,1300.00,0,
27_03_2026_15_10,1299.80,1300.50,1297.10,1297.75,0,
27_03_2026_15_15,1297.60,1297.95,1293.50,1293.90,0,
27_03_2026_15_20,1293.30,1293.55,1286.25,1286.90,0,
27_03_2026_15_25,1286.50,1287.35,1283.00,1285.10,0,
30_03_2026_09_15,1276.70,1281.75,1268.35,1279.10,0,
30_03_2026_09_20,1279.10,1289.65,1277.60,1286.45,0,
30_03_2026_09_25,1286.50,1295.55,1285.20,1295.40,0,
30_03_2026_09_30,1295.40,1301.15,1295.40,1299.20,0,
30_03_2026_09_35,1299.25,1302.65,1298.70,1302.40,0,
30_03_2026_09_40,1302.35,1304.55,1301.10,1304.20,0,
30_03_2026_09_45,1304.20,1306.15,1301.70,1301.75,0,
30_03_2026_09_50,1301.75,1303.35,1296.20,1296.50,0,
30_03_2026_09_55,1296.50,1298.25,1294.90,1294.90,0,
30_03_2026_10_00,1294.90,1295.60,1293.50,1294.55,0,
30_03_2026_10_05,1294.60,1294.85,1289.10,1292.20,0,
30_03_2026_10_10,1292.30,1292.40,1288.25,1292.15,0,
30_03_2026_10_15,1292.00,1292.10,1285.85,1286.55,0,
30_03_2026_10_20,1286.70,1287.55,1283.80,1283.80,0,
30_03_2026_10_25,1283.80,1283.95,1280.35,1280.95,0,
30_03_2026_10_30,1280.95,1281.70,1276.15,1277.45,0,
30_03_2026_10_35,1277.45,1281.20,1276.70,1280.35,0,
30_03_2026_10_40,1280.35,1280.50,1276.20,1276.45,0,
30_03_2026_10_45,1276.45,1279.75,1276.10,1276.15,0,
30_03_2026_10_50,1276.20,1276.80,1272.15,1272.85,0,
30_03_2026_10_55,1272.65,1274.05,1271.35,1271.80,0,
30_03_2026_11_00,1271.80,1272.15,1270.20,1271.60,0,
30_03_2026_11_05,1271.55,1272.20,1270.40,1270.85,0,
30_03_2026_11_10,1270.85,1272.10,1268.70,1271.85,0,
30_03_2026_11_15,1271.85,1276.20,1271.85,1272.20,0,
30_03_2026_11_20,1272.20,1274.80,1268.55,1268.55,0,
30_03_2026_11_25,1268.70,1268.75,1266.30,1268.00,0,
30_03_2026_11_30,1268.00,1270.35,1266.90,1269.05,0,
30_03_2026_11_35,1269.05,1272.10,1269.05,1270.25,0,
30_03_2026_11_40,1270.25,1270.35,1268.30,1269.00,0,
30_03_2026_11_45,1269.05,1272.35,1268.85,1272.00,0,
30_03_2026_11_50,1271.80,1273.00,1271.15,1273.00,0,
30_03_2026_11_55,1273.00,1274.30,1272.75,1273.20,0,
30_03_2026_12_00,1273.20,1279.30,1272.55,1278.15,0,
30_03_2026_12_05,1278.30,1279.80,1275.50,1276.25,0,
30_03_2026_12_10,1276.25,1280.20,1275.95,1278.35,0,
30_03_2026_12_15,1278.35,1279.80,1277.40,1277.70,0,
30_03_2026_12_20,1277.65,1279.95,1275.55,1276.15,0,
30_03_2026_12_25,1276.15,1276.75,1275.15,1276.75,0,
30_03_2026_12_30,1276.75,1277.05,1275.40,1275.65,0,
30_03_2026_12_35,1275.65,1279.55,1274.85,1279.45,0,
30_03_2026_12_40,1279.45,1280.55,1279.10,1279.75,0,
30_03_2026_12_45,1279.70,1280.00,1278.80,1279.15,0,
30_03_2026_12_50,1279.10,1281.45,1278.75,1280.90,0,
30_03_2026_12_55,1280.80,1283.25,1280.80,1281.70,0,
30_03_2026_13_00,1281.70,1282.55,1281.10,1282.50,0,
30_03_2026_13_05,1282.55,1284.65,1281.35,1281.55,0,
30_03_2026_13_10,1281.55,1284.70,1280.00,1284.40,0,
30_03_2026_13_15,1284.50,1288.05,1284.50,1285.40,0,
30_03_2026_13_20,1285.40,1286.25,1284.05,1285.40,0,
30_03_2026_13_25,1285.35,1285.80,1283.80,1284.90,0,
30_03_2026_13_30,1285.00,1285.00,1282.75,1284.35,0,
30_03_2026_13_35,1284.40,1285.75,1284.00,1285.25,0,
30_03_2026_13_40,1285.35,1285.35,1281.00,1281.15,0,
30_03_2026_13_45,1281.25,1281.55,1278.25,1279.25,0,
30_03_2026_13_50,1279.20,1279.35,1274.90,1275.25,0,
30_03_2026_13_55,1275.15,1275.40,1271.50,1271.80,0,
30_03_2026_14_00,1271.95,1276.90,1271.90,1276.15,0,
30_03_2026_14_05,1276.15,1276.75,1273.75,1274.05,0,
30_03_2026_14_10,1274.00,1274.05,1272.45,1273.20,0,
30_03_2026_14_15,1273.20,1275.05,1272.00,1272.35,0,
30_03_2026_14_20,1272.40,1273.05,1268.55,1269.05,0,
30_03_2026_14_25,1269.05,1271.55,1267.05,1267.50,0,
30_03_2026_14_30,1267.65,1272.10,1267.15,1269.55,0,
30_03_2026_14_35,1269.50,1270.10,1264.65,1265.70,0,
30_03_2026_14_40,1265.85,1267.85,1263.25,1263.25,0,
30_03_2026_14_45,1263.25,1264.45,1262.15,1263.50,0,
30_03_2026_14_50,1263.50,1263.90,1261.40,1261.55,0,
30_03_2026_14_55,1261.50,1263.30,1259.45,1263.30,0,
30_03_2026_15_00,1263.30,1263.30,1258.40,1258.90,0,
30_03_2026_15_05,1259.25,1263.70,1259.25,1262.90,0,
30_03_2026_15_10,1263.15,1264.40,1260.50,1264.05,0,
30_03_2026_15_15,1264.50,1265.30,1262.60,1263.75,0,
30_03_2026_15_20,1264.15,1265.10,1260.40,1260.70,0,
30_03_2026_15_25,1261.20,1263.05,1257.60,1257.80,0,
01_04_2026_09_15,1288.95,1301.55,1286.70,1300.85,0,
01_04_2026_09_20,1300.75,1306.55,1300.75,1306.50,0,
01_04_2026_09_25,1306.55,1309.80,1305.90,1309.10,0,
01_04_2026_09_30,1308.95,1309.35,1303.95,1304.20,0,
01_04_2026_09_35,1304.10,1304.35,1300.05,1300.55,0,
01_04_2026_09_40,1300.55,1303.70,1300.00,1302.25,0,
01_04_2026_09_45,1302.10,1305.85,1300.40,1305.65,0,
01_04_2026_09_50,1305.80,1309.95,1305.80,1309.65,0,
01_04_2026_09_55,1309.65,1311.55,1308.20,1308.40,0,
01_04_2026_10_00,1308.40,1314.05,1308.05,1313.05,0,
01_04_2026_10_05,1313.05,1313.25,1309.70,1310.25,0,
01_04_2026_10_10,1310.20,1311.70,1310.20,1310.70,0,
01_04_2026_10_15,1310.70,1310.75,1307.95,1309.60,0,
01_04_2026_10_20,1309.60,1310.00,1305.65,1305.85,0,
01_04_2026_10_25,1306.10,1306.10,1300.70,1302.50,0,
01_04_2026_10_30,1302.15,1304.80,1301.75,1303.40,0,
01_04_2026_10_35,1303.40,1304.75,1302.50,1302.90,0,
01_04_2026_10_40,1302.65,1302.95,1300.35,1301.95,0,
01_04_2026_10_45,1302.05,1305.25,1301.90,1304.75,0,
01_04_2026_10_50,1304.90,1304.90,1302.25,1302.30,0,
01_04_2026_10_55,1302.30,1304.35,1302.10,1303.90,0,
01_04_2026_11_00,1303.90,1304.20,1302.05,1302.05,0,
01_04_2026_11_05,1301.80,1303.05,1300.15,1300.35,0,
01_04_2026_11_10,1300.35,1302.10,1298.95,1300.15,0,
01_04_2026_11_15,1300.15,1302.85,1299.85,1302.85,0,
01_04_2026_11_20,1302.85,1303.70,1302.75,1303.10,0,
01_04_2026_11_25,1302.95,1305.85,1302.95,1305.00,0,
01_04_2026_11_30,1305.00,1307.80,1304.80,1307.40,0,
01_04_2026_11_35,1307.40,1309.15,1307.25,1309.05,0,
01_04_2026_11_40,1309.05,1310.05,1308.70,1309.70,0,
01_04_2026_11_45,1309.70,1309.85,1306.35,1308.60,0,
01_04_2026_11_50,1308.60,1308.75,1306.30,1306.45,0,
01_04_2026_11_55,1306.45,1309.40,1304.95,1308.80,0,
01_04_2026_12_00,1308.80,1311.25,1308.75,1310.30,0,
01_04_2026_12_05,1310.30,1312.05,1309.25,1311.95,0,
01_04_2026_12_10,1311.95,1313.15,1311.35,1312.60,0,
01_04_2026_12_15,1312.60,1313.60,1312.15,1312.60,0,
01_04_2026_12_20,1312.60,1312.80,1311.50,1312.60,0,
01_04_2026_12_25,1312.60,1312.95,1311.95,1312.80,0,
01_04_2026_12_30,1312.85,1313.40,1311.55,1312.40,0,
01_04_2026_12_35,1312.30,1313.35,1312.15,1312.40,0,
01_04_2026_12_40,1312.40,1313.10,1312.15,1313.00,0,
01_04_2026_12_45,1313.00,1314.20,1312.70,1313.45,0,
01_04_2026_12_50,1313.50,1313.70,1312.60,1313.25,0,
01_04_2026_12_55,1313.25,1313.75,1312.45,1313.00,0,
01_04_2026_13_00,1313.00,1313.30,1311.75,1311.75,0,
01_04_2026_13_05,1311.75,1313.60,1311.50,1312.90,0,
01_04_2026_13_10,1312.90,1313.40,1311.65,1313.40,0,
01_04_2026_13_15,1313.40,1314.40,1312.90,1314.35,0,
01_04_2026_13_20,1314.35,1314.55,1312.55,1314.10,0,
01_04_2026_13_25,1314.10,1315.65,1313.75,1315.60,0,
01_04_2026_13_30,1315.60,1315.80,1313.15,1314.05,0,
01_04_2026_13_35,1314.05,1314.35,1312.75,1314.05,0,
01_04_2026_13_40,1314.05,1314.55,1306.05,1309.20,0,
01_04_2026_13_45,1309.20,1312.45,1308.75,1312.45,0,
01_04_2026_13_50,1312.30,1313.95,1311.95,1313.55,0,
01_04_2026_13_55,1313.70,1314.40,1312.65,1312.95,0,
01_04_2026_14_00,1312.95,1313.80,1312.20,1313.60,0,
01_04_2026_14_05,1313.55,1315.10,1313.15,1314.85,0,
01_04_2026_14_10,1314.85,1316.75,1314.65,1316.75,0,
01_04_2026_14_15,1316.75,1317.05,1315.95,1317.05,0,
01_04_2026_14_20,1317.10,1317.65,1315.35,1317.45,0,
01_04_2026_14_25,1317.45,1319.00,1317.15,1318.65,0,
01_04_2026_14_30,1318.65,1318.75,1317.50,1317.80,0,
01_04_2026_14_35,1317.80,1318.10,1315.75,1316.55,0,
01_04_2026_14_40,1316.40,1316.45,1313.10,1313.40,0,
01_04_2026_14_45,1313.30,1313.35,1310.70,1311.55,0,
01_04_2026_14_50,1311.55,1311.95,1309.65,1309.95,0,
01_04_2026_14_55,1310.00,1311.30,1309.35,1309.50,0,
01_04_2026_15_00,1309.30,1315.55,1309.30,1314.85,0,
01_04_2026_15_05,1315.05,1315.60,1313.50,1313.55,0,
01_04_2026_15_10,1313.70,1314.05,1308.95,1309.30,0,
01_04_2026_15_15,1309.20,1309.95,1306.45,1307.70,0,
01_04_2026_15_20,1307.55,1308.75,1305.75,1306.85,0,
01_04_2026_15_25,1306.60,1308.80,1303.10,1303.10,0,
02_04_2026_09_15,1293.65,1295.00,1272.90,1275.15,0,
02_04_2026_09_20,1275.55,1280.25,1269.80,1279.85,0,
02_04_2026_09_25,1279.85,1281.05,1275.10,1275.25,0,
02_04_2026_09_30,1274.80,1278.85,1274.55,1276.30,0,
02_04_2026_09_35,1276.30,1278.65,1275.50,1276.75,0,
02_04_2026_09_40,1276.75,1280.20,1276.20,1279.95,0,
02_04_2026_09_45,1280.60,1281.80,1276.25,1276.50,0,
02_04_2026_09_50,1276.50,1278.20,1274.55,1274.60,0,
02_04_2026_09_55,1274.60,1276.25,1273.95,1275.95,0,
02_04_2026_10_00,1275.85,1275.95,1271.15,1271.55,0,
02_04_2026_10_05,1271.55,1271.55,1269.15,1269.75,0,
02_04_2026_10_10,1269.50,1272.15,1269.00,1272.00,0,
02_04_2026_10_15,1272.00,1272.00,1268.70,1268.85,0,
02_04_2026_10_20,1268.85,1269.40,1267.45,1267.75,0,
02_04_2026_10_25,1267.75,1270.35,1267.40,1270.25,0,
02_04_2026_10_30,1270.25,1272.50,1269.85,1271.70,0,
02_04_2026_10_35,1271.70,1272.00,1270.75,1271.55,0,
02_04_2026_10_40,1271.55,1274.30,1271.50,1273.50,0,
02_04_2026_10_45,1273.50,1275.05,1272.65,1273.65,0,
02_04_2026_10_50,1273.65,1274.75,1273.00,1274.55,0,
02_04_2026_10_55,1274.55,1274.95,1273.95,1273.95,0,
02_04_2026_11_00,1274.15,1278.00,1274.15,1277.15,0,
02_04_2026_11_05,1277.15,1278.25,1276.85,1278.15,0,
02_04_2026_11_10,1278.15,1278.70,1276.65,1277.80,0,
02_04_2026_11_15,1277.85,1278.05,1277.25,1277.80,0,
02_04_2026_11_20,1277.80,1279.45,1277.30,1278.95,0,
02_04_2026_11_25,1279.40,1281.10,1279.40,1280.65,0,
02_04_2026_11_30,1280.65,1281.00,1278.35,1278.70,0,
02_04_2026_11_35,1278.55,1280.00,1278.20,1279.50,0,
02_04_2026_11_40,1279.50,1279.55,1278.00,1278.55,0,
02_04_2026_11_45,1278.55,1279.75,1278.30,1279.05,0,
02_04_2026_11_50,1279.10,1279.20,1278.05,1278.55,0,
02_04_2026_11_55,1278.25,1280.60,1278.25,1278.85,0,
02_04_2026_12_00,1278.85,1280.05,1277.30,1278.30,0,
02_04_2026_12_05,1278.30,1278.30,1277.15,1277.95,0,
02_04_2026_12_10,1277.90,1279.75,1277.45,1279.70,0,
02_04_2026_12_15,1279.70,1281.80,1279.15,1281.30,0,
02_04_2026_12_20,1281.30,1281.30,1276.95,1279.40,0,
02_04_2026_12_25,1279.40,1280.00,1279.00,1279.75,0,
02_04_2026_12_30,1279.75,1281.95,1279.75,1281.55,0,
02_04_2026_12_35,1281.55,1283.60,1281.45,1282.90,0,
02_04_2026_12_40,1282.95,1283.60,1282.65,1283.45,0,
02_04_2026_12_45,1283.45,1285.30,1282.30,1284.20,0,
02_04_2026_12_50,1284.20,1286.90,1284.15,1286.70,0,
02_04_2026_12_55,1286.70,1290.30,1286.45,1289.65,0,
02_04_2026_13_00,1289.65,1292.10,1289.55,1290.05,0,
02_04_2026_13_05,1290.05,1291.10,1288.85,1291.10,0,
02_04_2026_13_10,1290.90,1291.50,1289.75,1290.65,0,
02_04_2026_13_15,1290.70,1292.25,1290.45,1292.25,0,
02_04_2026_13_20,1292.25,1294.60,1292.10,1294.40,0,
02_04_2026_13_25,1294.40,1295.75,1293.65,1295.75,0,
02_04_2026_13_30,1295.85,1298.25,1294.00,1298.25,0,
02_04_2026_13_35,1298.00,1301.30,1297.65,1301.10,0,
02_04_2026_13_40,1301.35,1302.45,1301.10,1301.80,0,
02_04_2026_13_45,1301.80,1304.75,1301.25,1302.45,0,
02_04_2026_13_50,1302.45,1304.50,1300.30,1304.15,0,
02_04_2026_13_55,1304.15,1305.05,1303.20,1303.35,0,
02_04_2026_14_00,1303.40,1305.10,1303.40,1304.55,0,
02_04_2026_14_05,1304.55,1304.80,1302.40,1304.50,0,
02_04_2026_14_10,1304.50,1307.25,1304.50,1307.25,0,
02_04_2026_14_15,1307.25,1308.25,1304.95,1305.00,0,
02_04_2026_14_20,1305.15,1306.20,1304.85,1306.20,0,
02_04_2026_14_25,1306.20,1306.95,1305.45,1306.65,0,
02_04_2026_14_30,1306.65,1308.30,1306.15,1307.65,0,
02_04_2026_14_35,1307.65,1311.25,1304.45,1304.45,0,
02_04_2026_14_40,1304.30,1304.65,1297.85,1298.60,0,
02_04_2026_14_45,1298.70,1300.65,1297.65,1299.50,0,
02_04_2026_14_50,1299.65,1300.65,1298.85,1300.25,0,
02_04_2026_14_55,1300.25,1300.85,1298.45,1299.95,0,
02_04_2026_15_00,1299.75,1304.85,1299.75,1304.60,0,
02_04_2026_15_05,1304.60,1310.25,1304.60,1310.00,0,
02_04_2026_15_10,1310.00,1310.75,1307.35,1307.70,0,
02_04_2026_15_15,1307.70,1308.05,1304.00,1304.60,0,
02_04_2026_15_20,1304.35,1304.55,1301.95,1302.25,0,
02_04_2026_15_25,1302.25,1303.25,1297.95,1301.10,0,
06_04_2026_09_15,1305.45,1310.00,1289.65,1293.00,0,
06_04_2026_09_20,1293.20,1298.40,1292.90,1296.10,0,
06_04_2026_09_25,1296.20,1297.70,1290.60,1291.00,0,
06_04_2026_09_30,1291.05,1298.20,1290.40,1298.10,0,
06_04_2026_09_35,1298.20,1303.90,1297.85,1303.60,0,
06_04_2026_09_40,1303.60,1305.70,1298.15,1302.60,0,
06_04_2026_09_45,1302.60,1305.35,1299.00,1299.05,0,
06_04_2026_09_50,1299.05,1299.05,1294.50,1296.20,0,
06_04_2026_09_55,1296.20,1298.00,1294.45,1294.50,0,
