Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,11224.50,11246.50,11157.10,11163.80,0,
27_03_2026_09_20,11163.60,11292.80,11156.70,11274.50,0,
27_03_2026_09_25,11274.30,11285.70,11257.80,11264.80,0,
27_03_2026_09_30,11263.20,11271.20,11232.20,11237.30,0,
27_03_2026_09_35,11237.00,11238.10,11212.00,11221.10,0,
27_03_2026_09_40,11221.10,11234.20,11213.10,11234.00,0,
27_03_2026_09_45,11234.30,11237.50,11221.20,11222.70,0,
27_03_2026_09_50,11223.20,11230.90,11210.30,11211.60,0,
27_03_2026_09_55,11212.00,11212.10,11189.80,11204.00,0,
27_03_2026_10_00,11204.30,11231.80,11200.60,11230.40,0,
27_03_2026_10_05,11229.50,11234.00,11209.80,11216.70,0,
27_03_2026_10_10,11217.00,11217.80,11184.80,11186.50,0,
27_03_2026_10_15,11186.90,11189.20,11174.00,11178.50,0,
27_03_2026_10_20,11178.60,11193.70,11172.20,11192.20,0,
27_03_2026_10_25,11192.00,11205.20,11185.80,11201.30,0,
27_03_2026_10_30,11200.50,11231.40,11200.40,11213.20,0,
27_03_2026_10_35,11213.20,11226.20,11205.10,11222.20,0,
27_03_2026_10_40,11221.30,11237.40,11212.50,11226.20,0,
27_03_2026_10_45,11226.00,11226.40,11202.40,11202.80,0,
27_03_2026_10_50,11202.70,11207.90,11184.60,11186.80,0,
27_03_2026_10_55,11186.90,11207.20,11185.50,11202.30,0,
27_03_2026_11_00,11202.80,11235.30,11202.80,11225.20,0,
27_03_2026_11_05,11226.00,11239.50,11218.30,11237.60,0,
27_03_2026_11_10,11237.80,11242.40,11215.40,11232.30,0,
27_03_2026_11_15,11232.70,11242.00,11229.00,11237.60,0,
27_03_2026_11_20,11238.00,11238.00,11220.00,11227.50,0,
27_03_2026_11_25,11227.30,11230.70,11214.70,11218.20,0,
27_03_2026_11_30,11217.90,11226.00,11212.10,11215.20,0,
27_03_2026_11_35,11215.00,11235.00,11215.00,11218.20,0,
27_03_2026_11_40,11218.50,11227.30,11208.80,11225.10,0,
27_03_2026_11_45,11224.90,11230.80,11218.60,11227.00,0,
27_03_2026_11_50,11226.80,11236.60,11221.30,11236.20,0,
27_03_2026_11_55,11236.50,11236.70,11220.20,11224.30,0,
27_03_2026_12_00,11224.30,11224.30,11196.70,11207.50,0,
27_03_2026_12_05,11207.60,11213.80,11200.00,11205.40,0,
27_03_2026_12_10,11205.00,11209.20,11195.70,11195.70,0,
27_03_2026_12_15,11195.80,11196.50,11175.10,11177.30,0,
27_03_2026_12_20,11177.20,11197.20,11176.20,11196.50,0,
27_03_2026_12_25,11196.20,11225.60,11195.90,11223.30,0,
27_03_2026_12_30,11222.80,11222.80,11203.00,11213.50,0,
27_03_2026_12_35,11214.20,11216.70,11203.40,11216.50,0,
27_03_2026_12_40,11216.40,11230.30,11211.20,11229.10,0,
27_03_2026_12_45,11229.10,11229.80,11216.90,11224.80,0,
27_03_2026_12_50,11224.50,11226.40,11207.00,11216.50,0,
27_03_2026_12_55,11216.00,11219.50,11213.20,11218.00,0,
27_03_2026_13_00,11218.10,11221.50,11210.80,11213.00,0,
27_03_2026_13_05,11213.00,11214.30,11201.50,11204.50,0,
27_03_2026_13_10,11204.10,11222.20,11199.40,11222.00,0,
27_03_2026_13_15,11222.20,11257.50,11217.50,11252.80,0,
27_03_2026_13_20,11252.50,11264.80,11243.80,11255.50,0,
27_03_2026_13_25,11255.80,11264.10,11244.80,11247.60,0,
27_03_2026_13_30,11247.80,11252.00,11231.30,11234.50,0,
27_03_2026_13_35,11234.50,11239.00,11215.70,11217.10,0,
27_03_2026_13_40,11216.80,11245.50,11214.80,11233.70,0,
27_03_2026_13_45,11234.00,11240.00,11221.20,11223.80,0,
27_03_2026_13_50,11223.70,11238.80,11220.90,11221.80,0,
27_03_2026_13_55,11222.50,11233.40,11212.50,11223.30,0,
27_03_2026_14_00,11223.00,11234.70,11219.50,11229.20,0,
27_03_2026_14_05,11229.20,11236.70,11215.20,11230.20,0,
27_03_2026_14_10,11230.40,11235.80,11220.20,11234.80,0,
27_03_2026_14_15,11235.30,11237.60,11219.90,11222.20,0,
27_03_2026_14_20,11223.20,11234.10,11209.20,11219.70,0,
27_03_2026_14_25,11219.70,11225.50,11210.00,11219.10,0,
27_03_2026_14_30,11219.20,11220.00,11198.50,11200.00,0,
27_03_2026_14_35,11200.30,11210.80,11188.10,11191.50,0,
27_03_2026_14_40,11191.50,11208.20,11188.00,11194.90,0,
27_03_2026_14_45,11194.20,11202.30,11194.20,11199.70,0,
27_03_2026_14_50,11199.00,11209.80,11195.80,11203.80,0,
27_03_2026_14_55,11204.00,11206.20,11183.80,11183.80,0,
27_03_2026_15_00,11184.70,11184.80,11164.60,11169.80,0,
27_03_2026_15_05,11169.30,11169.90,11159.00,11163.80,0,
27_03_2026_15_10,11166.40,11173.30,11157.20,11161.30,0,
27_03_2026_15_15,11160.00,11162.70,11148.30,11154.70,0,
27_03_2026_15_20,11154.50,11163.20,11150.00,11160.70,0,
27_03_2026_15_25,11161.00,11168.70,11148.30,11159.80,0,
30_03_2026_09_15,11168.90,11215.00,11088.00,11189.60,0,
30_03_2026_09_20,11188.20,11266.90,11179.20,11232.10,0,
30_03_2026_09_25,11230.30,11278.50,11219.60,11278.50,0,
30_03_2026_09_30,11279.80,11326.00,11258.90,11322.70,0,
30_03_2026_09_35,11321.50,11321.50,11295.50,11304.50,0,
30_03_2026_09_40,11303.10,11330.50,11301.20,11324.00,0,
30_03_2026_09_45,11323.00,11340.60,11308.20,11325.00,0,
30_03_2026_09_50,11324.20,11338.00,11316.50,11331.50,0,
30_03_2026_09_55,11331.00,11331.20,11308.00,11316.80,0,
30_03_2026_10_00,11318.00,11340.00,11308.20,11323.20,0,
30_03_2026_10_05,11322.80,11323.50,11268.70,11277.00,0,
30_03_2026_10_10,11277.00,11278.50,11237.20,11262.50,0,
30_03_2026_10_15,11263.90,11266.40,11208.80,11212.60,0,
30_03_2026_10_20,11212.50,11214.10,11179.00,11187.50,0,
30_03_2026_10_25,11187.00,11200.00,11170.70,11171.80,0,
30_03_2026_10_30,11172.60,11174.60,11145.30,11154.60,0,
30_03_2026_10_35,11155.00,11184.00,11152.90,11174.20,0,
30_03_2026_10_40,11174.30,11179.20,11148.40,11154.50,0,
30_03_2026_10_45,11154.50,11169.80,11152.50,11166.20,0,
30_03_2026_10_50,11167.00,11176.30,11148.50,11150.80,0,
30_03_2026_10_55,11151.20,11179.00,11143.20,11149.50,0,
30_03_2026_11_00,11150.40,11166.00,11140.90,11161.00,0,
30_03_2026_11_05,11161.10,11169.20,11152.30,11152.80,0,
30_03_2026_11_10,11152.10,11165.00,11146.00,11155.50,0,
30_03_2026_11_15,11154.80,11165.50,11144.60,11165.50,0,
30_03_2026_11_20,11164.70,11191.50,11163.30,11168.10,0,
30_03_2026_11_25,11167.30,11168.80,11148.70,11153.00,0,
30_03_2026_11_30,11152.90,11191.40,11145.80,11186.50,0,
30_03_2026_11_35,11186.00,11208.20,11185.90,11191.80,0,
30_03_2026_11_40,11191.30,11194.50,11183.00,11189.20,0,
30_03_2026_11_45,11190.00,11197.60,11178.20,11190.70,0,
30_03_2026_11_50,11190.80,11208.70,11180.70,11208.60,0,
30_03_2026_11_55,11207.80,11215.20,11200.80,11208.30,0,
30_03_2026_12_00,11208.70,11250.50,11204.80,11244.10,0,
30_03_2026_12_05,11244.00,11264.30,11242.80,11253.50,0,
30_03_2026_12_10,11253.00,11296.00,11251.80,11295.00,0,
30_03_2026_12_15,11294.80,11312.90,11293.30,11294.50,0,
30_03_2026_12_20,11294.50,11313.00,11288.20,11289.00,0,
30_03_2026_12_25,11289.50,11296.60,11265.30,11280.20,0,
30_03_2026_12_30,11281.70,11282.20,11259.00,11267.60,0,
30_03_2026_12_35,11267.20,11302.00,11264.80,11295.70,0,
30_03_2026_12_40,11296.30,11312.50,11292.10,11302.80,0,
30_03_2026_12_45,11302.70,11303.00,11270.20,11271.30,0,
30_03_2026_12_50,11271.20,11271.80,11241.50,11253.80,0,
30_03_2026_12_55,11254.10,11254.50,11244.80,11251.70,0,
30_03_2026_13_00,11251.70,11256.80,11231.30,11237.20,0,
30_03_2026_13_05,11236.80,11246.50,11227.00,11234.30,0,
30_03_2026_13_10,11233.20,11245.70,11221.80,11233.10,0,
30_03_2026_13_15,11232.70,11250.80,11230.80,11232.70,0,
30_03_2026_13_20,11232.10,11235.80,11224.50,11235.40,0,
30_03_2026_13_25,11235.00,11236.30,11204.80,11217.00,0,
30_03_2026_13_30,11216.60,11227.20,11206.70,11227.20,0,
30_03_2026_13_35,11227.60,11238.80,11215.50,11231.70,0,
30_03_2026_13_40,11231.30,11234.30,11204.50,11212.10,0,
30_03_2026_13_45,11213.00,11217.30,11204.20,11212.50,0,
30_03_2026_13_50,11212.60,11214.50,11189.00,11189.50,0,
30_03_2026_13_55,11190.00,11203.50,11186.20,11191.80,0,
30_03_2026_14_00,11192.80,11250.80,11192.20,11234.50,0,
30_03_2026_14_05,11234.40,11237.80,11213.10,11213.10,0,
30_03_2026_14_10,11212.30,11212.80,11196.20,11197.00,0,
30_03_2026_14_15,11198.40,11198.80,11171.80,11177.60,0,
30_03_2026_14_20,11176.00,11186.30,11167.60,11170.50,0,
30_03_2026_14_25,11170.70,11180.00,11164.00,11164.40,0,
30_03_2026_14_30,11163.50,11176.00,11140.50,11141.30,0,
30_03_2026_14_35,11139.20,11146.10,11131.70,11144.10,0,
30_03_2026_14_40,11142.50,11153.50,11136.00,11140.20,0,
30_03_2026_14_45,11138.80,11149.90,11129.30,11140.10,0,
30_03_2026_14_50,11138.20,11153.20,11119.20,11121.80,0,
30_03_2026_14_55,11121.20,11139.40,11120.20,11133.20,0,
30_03_2026_15_00,11133.50,11142.50,11115.30,11125.50,0,
30_03_2026_15_05,11125.70,11143.00,11124.30,11125.90,0,
30_03_2026_15_10,11125.80,11138.90,11124.90,11135.00,0,
30_03_2026_15_15,11135.20,11145.90,11135.00,11138.20,0,
30_03_2026_15_20,11137.80,11145.00,11134.50,11140.20,0,
30_03_2026_15_25,11140.70,11169.60,11137.60,11148.60,0,
01_04_2026_09_15,11445.70,11463.40,11374.50,11463.20,0,
01_04_2026_09_20,11463.50,11496.30,11448.30,11495.80,0,
01_04_2026_09_25,11495.90,11512.70,11480.70,11511.40,0,
01_04_2026_09_30,11510.00,11519.70,11474.80,11499.50,0,
01_04_2026_09_35,11497.90,11501.20,11460.60,11471.20,0,
01_04_2026_09_40,11471.00,11510.70,11471.00,11488.20,0,
01_04_2026_09_45,11486.80,11542.80,11483.50,11542.00,0,
01_04_2026_09_50,11544.20,11550.80,11531.00,11545.80,0,
01_04_2026_09_55,11546.30,11548.30,11527.20,11539.10,0,
01_04_2026_10_00,11539.50,11569.00,11538.00,11563.00,0,
01_04_2026_10_05,11563.20,11570.00,11556.00,11563.20,0,
01_04_2026_10_10,11563.20,11564.10,11533.30,11537.30,0,
01_04_2026_10_15,11535.90,11553.00,11535.90,11549.50,0,
01_04_2026_10_20,11550.80,11561.20,11517.80,11520.80,0,
01_04_2026_10_25,11520.40,11520.80,11494.00,11509.80,0,
01_04_2026_10_30,11511.10,11548.20,11510.70,11544.20,0,
01_04_2026_10_35,11545.20,11566.40,11544.60,11564.00,0,
01_04_2026_10_40,11564.30,11564.70,11539.80,11555.00,0,
01_04_2026_10_45,11555.10,11565.30,11544.70,11549.50,0,
01_04_2026_10_50,11549.80,11561.40,11542.50,11552.30,0,
01_04_2026_10_55,11552.80,11555.90,11534.20,11540.10,0,
01_04_2026_11_00,11540.70,11553.70,11531.30,11538.20,0,
01_04_2026_11_05,11538.10,11556.70,11527.50,11549.70,0,
01_04_2026_11_10,11549.50,11573.00,11544.00,11549.20,0,
01_04_2026_11_15,11550.80,11552.00,11530.40,11532.90,0,
01_04_2026_11_20,11533.00,11543.50,11530.30,11540.90,0,
01_04_2026_11_25,11540.90,11543.90,11524.30,11524.30,0,
01_04_2026_11_30,11524.20,11537.00,11516.40,11530.20,0,
01_04_2026_11_35,11530.50,11533.20,11519.20,11532.30,0,
01_04_2026_11_40,11532.00,11532.50,11513.30,11522.20,0,
01_04_2026_11_45,11522.80,11522.90,11488.40,11493.90,0,
01_04_2026_11_50,11493.60,11494.80,11482.90,11484.10,0,
01_04_2026_11_55,11484.30,11497.80,11472.80,11497.20,0,
01_04_2026_12_00,11496.90,11512.20,11496.50,11505.50,0,
01_04_2026_12_05,11504.80,11512.00,11498.50,11507.00,0,
01_04_2026_12_10,11506.30,11537.70,11504.50,11531.70,0,
01_04_2026_12_15,11530.70,11537.80,11522.20,11534.10,0,
01_04_2026_12_20,11533.00,11534.60,11523.80,11530.70,0,
01_04_2026_12_25,11529.00,11535.50,11519.50,11526.80,0,
01_04_2026_12_30,11527.20,11542.60,11525.00,11536.20,0,
01_04_2026_12_35,11535.00,11540.20,11524.20,11539.30,0,
01_04_2026_12_40,11538.50,11548.60,11532.40,11546.90,0,
01_04_2026_12_45,11546.80,11564.70,11546.50,11552.70,0,
01_04_2026_12_50,11553.10,11558.10,11547.30,11552.20,0,
01_04_2026_12_55,11552.20,11561.20,11551.70,11557.80,0,
01_04_2026_13_00,11557.80,11563.50,11542.00,11547.40,0,
01_04_2026_13_05,11547.50,11556.70,11540.10,11551.00,0,
