Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,15628.90,15638.90,15494.00,15497.40,0,
27_03_2026_09_20,15496.80,15598.80,15490.50,15569.80,0,
27_03_2026_09_25,15570.50,15594.60,15564.80,15569.80,0,
27_03_2026_09_30,15568.80,15572.70,15529.60,15529.60,0,
27_03_2026_09_35,15529.80,15532.40,15500.50,15529.30,0,
27_03_2026_09_40,15529.90,15560.80,15529.90,15558.00,0,
27_03_2026_09_45,15558.30,15559.10,15541.80,15551.80,0,
27_03_2026_09_50,15551.20,15551.50,15514.80,15514.80,0,
27_03_2026_09_55,15514.80,15515.20,15483.80,15495.50,0,
27_03_2026_10_00,15495.30,15522.60,15488.80,15504.00,0,
27_03_2026_10_05,15503.60,15504.20,15477.50,15486.60,0,
27_03_2026_10_10,15486.40,15486.40,15455.20,15459.00,0,
27_03_2026_10_15,15459.50,15459.50,15427.30,15431.30,0,
27_03_2026_10_20,15431.40,15444.20,15423.20,15444.20,0,
27_03_2026_10_25,15443.80,15458.50,15438.30,15446.80,0,
27_03_2026_10_30,15446.80,15477.20,15445.40,15448.50,0,
27_03_2026_10_35,15448.50,15459.80,15443.50,15459.20,0,
27_03_2026_10_40,15459.10,15459.40,15447.00,15449.10,0,
27_03_2026_10_45,15449.50,15449.50,15438.00,15441.10,0,
27_03_2026_10_50,15441.50,15447.20,15426.30,15426.70,0,
27_03_2026_10_55,15426.70,15446.60,15425.20,15438.20,0,
27_03_2026_11_00,15438.40,15454.20,15433.00,15440.00,0,
27_03_2026_11_05,15440.00,15452.70,15434.00,15452.50,0,
27_03_2026_11_10,15452.00,15461.40,15438.00,15444.40,0,
27_03_2026_11_15,15443.50,15455.70,15435.50,15438.10,0,
27_03_2026_11_20,15438.20,15439.00,15421.80,15422.60,0,
27_03_2026_11_25,15422.10,15436.00,15410.50,15414.20,0,
27_03_2026_11_30,15413.80,15429.70,15412.80,15419.30,0,
27_03_2026_11_35,15419.40,15449.50,15419.40,15440.20,0,
27_03_2026_11_40,15440.10,15440.20,15420.60,15438.20,0,
27_03_2026_11_45,15438.00,15445.80,15426.70,15431.70,0,
27_03_2026_11_50,15431.00,15453.80,15427.70,15450.40,0,
27_03_2026_11_55,15450.30,15451.50,15428.20,15448.80,0,
27_03_2026_12_00,15447.50,15447.50,15426.50,15440.70,0,
27_03_2026_12_05,15440.50,15445.80,15427.70,15437.50,0,
27_03_2026_12_10,15436.70,15447.50,15431.30,15434.20,0,
27_03_2026_12_15,15434.20,15435.10,15405.80,15409.30,0,
27_03_2026_12_20,15409.60,15428.60,15405.00,15428.20,0,
27_03_2026_12_25,15428.40,15471.00,15428.20,15460.30,0,
27_03_2026_12_30,15460.00,15460.00,15435.50,15454.40,0,
27_03_2026_12_35,15454.20,15459.90,15437.20,15444.20,0,
27_03_2026_12_40,15444.30,15459.40,15437.80,15457.80,0,
27_03_2026_12_45,15457.50,15461.80,15445.90,15458.20,0,
27_03_2026_12_50,15458.20,15481.80,15448.00,15463.70,0,
27_03_2026_12_55,15463.00,15470.00,15456.90,15460.00,0,
27_03_2026_13_00,15459.90,15469.40,15457.30,15457.80,0,
27_03_2026_13_05,15457.60,15466.70,15455.70,15458.80,0,
27_03_2026_13_10,15459.00,15484.00,15457.20,15483.00,0,
27_03_2026_13_15,15483.30,15527.00,15478.20,15511.40,0,
27_03_2026_13_20,15511.00,15511.00,15486.50,15493.70,0,
27_03_2026_13_25,15493.80,15506.00,15471.80,15473.60,0,
27_03_2026_13_30,15473.50,15483.50,15465.20,15475.00,0,
27_03_2026_13_35,15475.00,15487.20,15464.70,15470.30,0,
27_03_2026_13_40,15470.50,15501.30,15468.30,15486.90,0,
27_03_2026_13_45,15487.50,15497.40,15479.50,15481.20,0,
27_03_2026_13_50,15480.60,15494.40,15478.40,15488.50,0,
27_03_2026_13_55,15488.70,15497.20,15473.00,15482.40,0,
27_03_2026_14_00,15482.30,15486.20,15473.70,15483.90,0,
27_03_2026_14_05,15483.80,15485.70,15456.30,15466.50,0,
27_03_2026_14_10,15466.70,15473.80,15450.80,15473.40,0,
27_03_2026_14_15,15473.20,15473.20,15449.20,15450.90,0,
27_03_2026_14_20,15450.70,15456.50,15436.30,15448.80,0,
27_03_2026_14_25,15449.00,15455.70,15435.20,15445.50,0,
27_03_2026_14_30,15445.00,15446.20,15422.00,15426.00,0,
27_03_2026_14_35,15426.50,15440.10,15418.20,15421.50,0,
27_03_2026_14_40,15421.20,15448.30,15416.70,15432.30,0,
27_03_2026_14_45,15432.20,15443.50,15427.20,15434.80,0,
27_03_2026_14_50,15435.20,15445.00,15429.20,15436.30,0,
27_03_2026_14_55,15436.70,15437.70,15411.30,15411.30,0,
27_03_2026_15_00,15410.70,15410.70,15367.50,15379.70,0,
27_03_2026_15_05,15379.20,15392.30,15372.50,15391.70,0,
27_03_2026_15_10,15392.50,15409.20,15392.00,15400.50,0,
27_03_2026_15_15,15400.80,15413.80,15396.50,15410.70,0,
27_03_2026_15_20,15409.20,15411.70,15394.30,15406.80,0,
27_03_2026_15_25,15405.50,15408.90,15389.20,15396.70,0,
30_03_2026_09_15,15214.20,15228.90,15094.80,15134.00,0,
30_03_2026_09_20,15133.30,15167.80,15126.90,15130.30,0,
30_03_2026_09_25,15127.80,15154.00,15121.70,15149.20,0,
30_03_2026_09_30,15151.20,15205.90,15151.00,15205.00,0,
30_03_2026_09_35,15204.70,15213.80,15181.50,15181.50,0,
30_03_2026_09_40,15180.70,15201.20,15168.30,15186.70,0,
30_03_2026_09_45,15186.30,15215.30,15173.20,15173.50,0,
30_03_2026_09_50,15173.00,15206.00,15166.80,15171.50,0,
30_03_2026_09_55,15171.00,15174.30,15145.10,15157.70,0,
30_03_2026_10_00,15157.30,15186.00,15154.10,15178.80,0,
30_03_2026_10_05,15177.90,15177.90,15128.20,15132.20,0,
30_03_2026_10_10,15130.80,15131.70,15099.10,15128.20,0,
30_03_2026_10_15,15128.00,15135.20,15089.90,15092.10,0,
30_03_2026_10_20,15092.20,15098.70,15082.30,15092.40,0,
30_03_2026_10_25,15091.30,15104.00,15082.20,15083.50,0,
30_03_2026_10_30,15083.80,15089.00,15073.80,15088.50,0,
30_03_2026_10_35,15088.50,15119.00,15087.20,15111.80,0,
30_03_2026_10_40,15112.00,15113.70,15075.50,15076.20,0,
30_03_2026_10_45,15076.30,15088.00,15072.70,15082.50,0,
30_03_2026_10_50,15082.90,15090.00,15057.60,15060.80,0,
30_03_2026_10_55,15061.20,15082.00,15053.50,15055.50,0,
30_03_2026_11_00,15055.50,15065.00,15052.10,15062.00,0,
30_03_2026_11_05,15062.20,15064.30,15049.80,15049.80,0,
30_03_2026_11_10,15048.50,15052.20,15035.20,15045.50,0,
30_03_2026_11_15,15044.50,15065.80,15044.00,15057.00,0,
30_03_2026_11_20,15056.50,15075.80,15051.00,15052.50,0,
30_03_2026_11_25,15052.50,15053.70,15042.00,15045.30,0,
30_03_2026_11_30,15044.30,15067.20,15041.80,15064.50,0,
30_03_2026_11_35,15063.70,15092.50,15063.70,15071.50,0,
30_03_2026_11_40,15070.30,15071.90,15045.60,15045.80,0,
30_03_2026_11_45,15045.00,15049.50,15037.50,15045.80,0,
30_03_2026_11_50,15045.50,15056.80,15033.20,15053.80,0,
30_03_2026_11_55,15053.50,15073.00,15053.50,15067.30,0,
30_03_2026_12_00,15066.80,15128.50,15063.20,15114.20,0,
30_03_2026_12_05,15114.10,15133.50,15088.30,15101.00,0,
30_03_2026_12_10,15101.00,15115.30,15099.80,15109.50,0,
30_03_2026_12_15,15108.80,15117.50,15098.80,15110.80,0,
30_03_2026_12_20,15110.60,15137.40,15096.30,15096.30,0,
30_03_2026_12_25,15096.70,15099.80,15076.30,15092.40,0,
30_03_2026_12_30,15091.80,15098.70,15084.20,15089.50,0,
30_03_2026_12_35,15089.50,15121.00,15087.50,15118.80,0,
30_03_2026_12_40,15118.20,15127.20,15113.20,15117.90,0,
30_03_2026_12_45,15118.20,15119.20,15090.70,15091.20,0,
