Date,Open,High,Low,Close,Volume,
27_03_2026_09_15,10987.60,11025.50,10937.20,10948.00,0,
27_03_2026_09_20,10947.30,10957.20,10902.50,10906.00,0,
27_03_2026_09_25,10906.70,10927.00,10890.10,10915.70,0,
27_03_2026_09_30,10914.40,10943.00,10864.90,10868.00,0,
27_03_2026_09_35,10868.10,10874.10,10854.80,10872.30,0,
27_03_2026_09_40,10871.80,10904.80,10870.20,10904.20,0,
27_03_2026_09_45,10904.00,10910.40,10883.00,10899.50,0,
27_03_2026_09_50,10898.10,10911.50,10876.70,10878.20,0,
27_03_2026_09_55,10876.50,10878.80,10853.70,10865.70,0,
27_03_2026_10_00,10865.70,10884.00,10857.90,10876.50,0,
27_03_2026_10_05,10876.00,10878.80,10867.90,10872.80,0,
27_03_2026_10_10,10873.20,10873.20,10857.80,10858.80,0,
27_03_2026_10_15,10859.20,10862.30,10847.80,10853.30,0,
27_03_2026_10_20,10854.00,10864.50,10843.00,10854.20,0,
27_03_2026_10_25,10853.30,10864.20,10851.50,10863.30,0,
27_03_2026_10_30,10863.80,10880.70,10850.60,10853.60,0,
27_03_2026_10_35,10854.50,10863.20,10843.80,10862.50,0,
27_03_2026_10_40,10862.20,10867.80,10851.20,10854.00,0,
27_03_2026_10_45,10854.00,10861.50,10849.10,10853.50,0,
27_03_2026_10_50,10854.00,10858.30,10836.20,10837.50,0,
27_03_2026_10_55,10838.20,10867.40,10836.20,10866.30,0,
27_03_2026_11_00,10866.50,10882.70,10862.20,10875.00,0,
27_03_2026_11_05,10875.00,10875.30,10863.10,10871.30,0,
27_03_2026_11_10,10871.80,10881.00,10866.80,10874.10,0,
27_03_2026_11_15,10874.10,10885.80,10869.50,10875.50,0,
27_03_2026_11_20,10874.70,10876.20,10859.20,10869.70,0,
27_03_2026_11_25,10870.40,10881.00,10864.30,10869.20,0,
27_03_2026_11_30,10870.90,10883.40,10863.80,10876.70,0,
27_03_2026_11_35,10876.80,10892.70,10876.80,10888.20,0,
27_03_2026_11_40,10887.70,10890.40,10876.20,10890.20,0,
27_03_2026_11_45,10890.40,10892.70,10881.50,10885.30,0,
27_03_2026_11_50,10885.30,10888.00,10867.70,10869.80,0,
27_03_2026_11_55,10869.50,10870.10,10854.50,10859.10,0,
27_03_2026_12_00,10860.30,10861.20,10841.70,10855.50,0,
27_03_2026_12_05,10855.50,10859.30,10848.30,10849.30,0,
27_03_2026_12_10,10848.10,10866.20,10847.50,10864.80,0,
27_03_2026_12_15,10863.90,10865.00,10849.30,10851.50,0,
27_03_2026_12_20,10850.80,10867.60,10849.00,10866.10,0,
27_03_2026_12_25,10867.10,10877.30,10862.00,10871.80,0,
27_03_2026_12_30,10871.80,10872.50,10853.80,10865.70,0,
27_03_2026_12_35,10865.70,10874.20,10859.80,10873.70,0,
27_03_2026_12_40,10873.00,10875.80,10860.50,10867.80,0,
27_03_2026_12_45,10867.50,10875.20,10857.50,10871.70,0,
27_03_2026_12_50,10871.80,10875.00,10865.50,10869.70,0,
27_03_2026_12_55,10869.00,10881.80,10869.00,10877.00,0,
27_03_2026_13_00,10877.50,10880.20,10865.50,10868.00,0,
27_03_2026_13_05,10869.20,10870.20,10856.80,10858.10,0,
27_03_2026_13_10,10858.30,10880.20,10852.00,10879.60,0,
27_03_2026_13_15,10880.50,10920.80,10879.30,10909.00,0,
27_03_2026_13_20,10908.30,10914.80,10895.10,10914.00,0,
27_03_2026_13_25,10913.00,10925.30,10898.10,10899.70,0,
27_03_2026_13_30,10900.10,10912.80,10897.20,10905.70,0,
27_03_2026_13_35,10905.80,10911.40,10892.00,10894.20,0,
27_03_2026_13_40,10893.90,10908.80,10891.60,10902.80,0,
27_03_2026_13_45,10903.30,10916.00,10901.60,10908.20,0,
27_03_2026_13_50,10908.00,10915.90,10904.00,10908.70,0,
27_03_2026_13_55,10908.80,10913.80,10900.80,10910.80,0,
27_03_2026_14_00,10909.70,10921.80,10907.50,10917.30,0,
27_03_2026_14_05,10916.60,10921.80,10904.00,10916.00,0,
27_03_2026_14_10,10915.20,10918.50,10906.80,10913.00,0,
27_03_2026_14_15,10912.70,10912.80,10875.60,10882.30,0,
27_03_2026_14_20,10884.70,10888.50,10872.60,10877.50,0,
27_03_2026_14_25,10877.80,10883.40,10864.80,10869.90,0,
27_03_2026_14_30,10869.80,10873.10,10861.30,10868.20,0,
27_03_2026_14_35,10867.50,10875.80,10852.20,10852.50,0,
27_03_2026_14_40,10852.30,10879.50,10850.50,10871.80,0,
27_03_2026_14_45,10871.90,10877.20,10859.80,10861.10,0,
27_03_2026_14_50,10860.00,10873.20,10858.90,10867.00,0,
27_03_2026_14_55,10866.40,10873.90,10861.20,10863.30,0,
27_03_2026_15_00,10862.30,10862.50,10833.40,10846.30,0,
27_03_2026_15_05,10845.20,10846.40,10831.00,10840.30,0,
27_03_2026_15_10,10840.20,10849.50,10827.50,10830.70,0,
27_03_2026_15_15,10830.30,10833.50,10817.00,10822.10,0,
27_03_2026_15_20,10822.50,10831.90,10812.70,10831.90,0,
27_03_2026_15_25,10830.80,10832.90,10808.00,10818.50,0,
30_03_2026_09_15,10724.20,10857.00,10696.20,10835.70,0,
30_03_2026_09_20,10834.70,10901.20,10830.30,10881.80,0,
30_03_2026_09_25,10879.30,10895.80,10866.80,10888.80,0,
30_03_2026_09_30,10889.50,10910.30,10883.80,10901.00,0,
30_03_2026_09_35,10899.50,10933.00,10889.20,10911.00,0,
30_03_2026_09_40,10911.40,10931.90,10906.50,10919.20,0,
30_03_2026_09_45,10918.70,10955.40,10911.80,10921.50,0,
30_03_2026_09_50,10920.90,10939.10,10916.80,10918.60,0,
30_03_2026_09_55,10919.00,10921.40,10899.80,10908.60,0,
30_03_2026_10_00,10910.10,10926.90,10906.20,10916.20,0,
30_03_2026_10_05,10915.20,10920.90,10896.30,10898.80,0,
30_03_2026_10_10,10899.40,10899.70,10868.70,10897.80,0,
30_03_2026_10_15,10898.20,10904.90,10875.30,10875.80,0,
30_03_2026_10_20,10875.50,10876.60,10849.80,10853.50,0,
30_03_2026_10_25,10852.50,10862.20,10845.70,10847.90,0,
30_03_2026_10_30,10847.50,10849.80,10835.40,10841.80,0,
30_03_2026_10_35,10842.00,10869.70,10841.70,10851.00,0,
30_03_2026_10_40,10851.70,10853.10,10840.70,10846.20,0,
30_03_2026_10_45,10846.90,10856.00,10841.90,10847.30,0,
30_03_2026_10_50,10847.90,10858.60,10828.60,10832.10,0,
